Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;97111.097;1108.84;9513.270;80805.912;4.220;1607.77;756.93;
1;95171.231;1045.79;9513.270;78842.499;14.882;1517.85;706.90;
2;93966.431;995.74;9513.270;77644.893;39.695;1391.92;668.32;
3;93800.127;984.95;9513.270;77485.113;55.954;1344.76;657.25;
4;93945.536;999.96;9513.270;77643.251;66.161;1375.34;654.49;
5;95073.608;1053.94;9513.270;78772.600;58.501;1506.17;686.83;
6;96578.382;1098.79;24438.562;65334.105;29.402;1547.99;693.57;
7;98586.765;1197.36;24438.562;67337.474;16.966;1706.93;767.28;
8;101287.638;1411.73;20490.544;74123.940;113.735;2129.79;872.23;
9;104208.279;1480.14;20490.544;76986.208;25.424;2298.34;924.09;
10;105955.949;1550.49;20490.544;78704.810;3.691;2275.07;1018.93;
11;106451.482;1569.81;20490.544;79177.416;3.601;2291.67;1047.44;
12;106369.410;1570.26;20490.544;79108.886;5.972;2296.50;1055.45;
13;106242.550;1573.83;20490.544;78995.964;9.414;2295.39;1055.90;
14;106245.884;1580.32;20490.544;79003.171;7.210;2290.50;1060.98;
15;106800.111;1573.67;20490.544;79578.047;4.630;2295.42;1036.72;
16;108196.714;1592.48;20490.544;80990.505;2.662;2214.67;1024.53;
17;109663.514;1605.91;20490.544;82503.321;3.287;2354.77;1064.10;
18;110079.785;1623.58;38533.626;64901.959;27.714;2374.70;1089.14;
19;109273.019;1614.13;38533.626;64137.334;46.778;2344.76;1110.80;
20;107803.101;1613.26;38533.626;62696.303;74.344;2380.20;1097.37;
21;105221.699;1542.99;38533.626;60144.973;115.485;2336.75;1031.88;
22;101624.681;1396.15;9513.270;85366.523;2.056;2281.43;899.61;
23;98253.088;1157.74;9513.270;81920.638;1.878;1751.71;809.41;
