Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;95428.396;1104.22;9309.950;78890.562;9.938;1719.23;723.30;
1;93916.578;1073.24;9309.950;77381.008;28.377;2143.27;686.09;
2;92927.162;1015.09;9309.950;76420.179;60.469;2101.56;632.74;
3;92784.255;1027.37;9309.950;76305.262;88.559;1538.25;637.28;
4;93730.746;1058.83;9309.950;77267.265;92.050;1585.33;632.11;
5;96071.618;1153.97;9309.950;79601.644;71.312;1698.23;703.34;
6;99142.473;1349.66;23707.649;68263.639;60.630;2060.31;859.62;
7;103193.491;1587.60;23707.649;72227.052;60.146;2622.62;1024.94;
8;106805.527;1665.95;19932.653;79732.581;143.330;2659.26;1101.97;
9;108703.176;1684.18;19932.653;81588.800;86.629;2673.34;1129.49;
10;108910.429;1686.98;19932.653;81750.412;57.913;2666.03;1157.30;
11;108075.959;1679.70;19932.653;80880.673;63.636;2646.72;1166.73;
12;107328.491;1667.18;19932.653;80085.177;43.009;2683.98;1162.01;
13;107126.324;1650.44;19932.653;79858.117;46.010;2626.14;1154.62;
14;106978.230;1649.44;19932.653;79714.029;49.565;2635.45;1139.96;
15;107266.273;1657.70;19932.653;80026.448;33.154;2620.70;1144.12;
16;108323.807;1671.12;19932.653;81120.682;27.556;2596.15;1147.40;
17;108770.037;1681.53;19932.653;81585.760;22.155;2630.32;1154.39;
18;107918.183;1681.16;37307.948;63398.547;67.461;2630.24;1157.60;
19;106301.532;1678.73;37307.948;61822.854;96.041;2600.36;1160.16;
20;104275.705;1671.09;37307.948;59828.467;139.520;2620.80;1146.91;
21;102040.854;1654.08;37307.948;57915.683;170.577;2674.90;1183.12;
22;98828.892;1485.14;9309.950;82537.206;4.896;2445.64;1060.95;
23;95989.037;1180.11;9309.950;79627.329;5.734;1864.31;821.39;
