Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;95868.528;1090.48;9843.867;78908.199;7.601;1600.33;793.88;
1;94420.159;1048.94;9843.867;77444.536;25.123;1510.33;739.05;
2;93432.320;1017.91;9843.867;76473.572;65.936;1452.88;707.32;
3;93889.682;1022.00;9843.867;76949.390;89.792;1430.46;702.10;
4;95002.413;1059.15;9843.867;78080.844;98.436;1474.53;721.87;
5;97529.586;1152.92;9843.867;80609.961;75.367;1606.91;785.64;
6;101162.408;1358.35;25476.897;68594.925;42.145;1893.27;924.53;
7;105965.663;1566.83;25476.897;73296.421;21.573;2306.38;992.80;
8;109425.133;1657.83;21275.630;81038.490;62.824;2577.40;970.31;
9;111495.379;1680.70;21275.630;83106.116;28.810;2582.77;931.33;
10;111757.549;1678.26;21275.630;83329.566;19.781;2448.75;883.10;
11;111127.825;1682.02;21275.630;82674.202;29.718;2429.33;873.10;
12;110373.342;1665.25;21275.630;81914.427;36.476;2442.01;866.06;
13;110545.584;1674.82;21275.630;82073.297;36.375;2434.41;867.10;
14;110176.470;1670.32;21275.630;81730.755;29.732;2394.58;876.02;
15;109887.612;1642.06;21275.630;81451.103;34.623;2556.63;1122.67;
16;110052.387;1630.29;21275.630;81604.340;26.874;2541.96;1138.68;
17;110739.554;1633.12;21275.630;82335.022;15.262;2570.59;1125.98;
18;111282.355;1665.30;40149.114;64027.504;41.841;2689.48;1124.29;
19;110109.075;1655.62;40149.114;62900.207;71.922;2667.65;1092.36;
20;108023.488;1605.46;40149.114;60847.226;119.330;2596.01;1052.48;
21;105617.363;1528.81;40149.114;58645.382;193.403;2465.51;1000.76;
22;101651.333;1394.31;9843.867;84812.462;6.448;2309.38;909.95;
23;98164.543;1209.82;9843.867;81221.083;6.724;2319.26;860.84;
