◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
22,102449.322,1451.61,9843.867,85654.658,11.684,2387.26,938.73,
23,98809.083,1249.46,9843.867,81957.242,13.946,2284.33,852.13,
0,97020.473,1176.54,9843.867,80127.771,17.157,2264.89,800.08,
1,95639.323,1099.32,9843.867,78719.364,18.087,1954.76,713.34,
2,95315.684,1080.07,9843.867,78388.389,38.546,1581.43,710.6,
3,95703.322,1089.32,9843.867,78786.294,55.25,1544.75,724.67,
4,96481.856,1108.21,9843.867,79584.061,63.524,1581.68,719.36,
5,98670.908,1281.94,9843.867,81781.577,50.695,1817.5,835.11,
6,102552.255,1469.91,25476.897,70018.547,18.288,2310.9,936.61,
7,106855.534,1659.98,25476.897,74208.673,14.21,2416.25,1073.91,
8,110230.158,1713.33,21275.63,81832.595,14.142,2490.03,1126.82,
9,112368.107,1728.3,21275.63,83987.298,12.698,2829.12,1122.85,
10,112657.48,1720.75,21275.63,84249.998,11.978,2518.81,1067.51,
11,112229.31,1730.26,21275.63,83792.279,17.833,2513.85,1063.78,
12,111564.202,1716.24,21275.63,83109.192,15.71,2497.53,1134.24,
13,111606.224,1719.32,21275.63,83149.153,15.974,2501.19,1133.85,
14,111258.905,1715.66,21275.63,82796.348,5.056,2485.17,1135.44,
15,111073.824,1684.76,21275.63,82614.04,6.808,2458.71,1133.56,
16,111434.197,1680.02,21275.63,82988.825,5.963,2460.93,1131.4,
17,112186.823,1682.15,21275.63,83806.703,4.79,2462.0,1124.0,
18,112300.731,1689.58,40149.114,65091.522,51.104,2527.38,1105.0,
19,111041.963,1700.75,40149.114,63855.295,72.755,2408.02,1101.98,
20,109047.407,1662.33,40149.114,61900.822,108.443,2377.37,1044.22,
21,106838.469,1586.46,40149.114,60007.58,189.555,2378.64,1005.04,
22,102885.388,1494.98,9843.867,86237.067,5.244,2391.39,968.82,
23,99294.174,1280.86,9843.867,82594.253,5.024,1938.04,872.0,
0,97708.107,1219.94,9843.867,80903.953,5.425,1772.02,857.37,
1,95833.927,1132.85,9843.867,78988.448,7.405,1613.66,771.23,
2,95107.485,1090.75,9843.867,78268.301,33.793,1524.99,732.03,
3,94609.205,1071.19,9843.867,77784.138,54.172,1489.76,701.93,
4,94923.716,1088.89,9843.867,78109.309,59.463,1489.56,700.55,
5,96121.669,1165.93,9843.867,79308.535,48.22,1582.89,746.25,
6,98060.309,1279.69,25476.897,65637.095,30.037,1746.18,819.72,
7,100993.465,1432.11,25476.897,68599.406,21.75,2059.4,907.29,
8,104102.971,1598.99,21275.63,75978.13,61.246,2291.26,1015.3,
9,106632.039,1650.09,21275.63,78476.123,11.383,2295.15,1059.16,
10,108072.526,1673.04,21275.63,79886.336,7.523,2267.36,1059.16,
11,108247.082,1675.17,21275.63,80038.488,3.797,2275.46,1059.16,
12,107814.28,1666.34,21275.63,79649.262,9.832,2269.12,1059.16,
13,107717.902,1667.73,21275.63,79568.423,9.296,2406.8,1103.19,
14,107497.751,1671.43,21275.63,79377.132,6.028,2398.16,1101.57,
15,107695.293,1655.63,21275.63,79551.624,6.672,2385.03,1075.5,
16,108859.548,1670.44,21275.63,80741.385,4.045,2323.01,1083.58,
17,110259.049,1682.04,21275.63,82171.592,3.353,2352.36,1111.21,
18,110861.538,1698.18,40149.114,63959.987,58.585,2371.69,1137.22,
19,109667.733,1681.01,40149.114,62786.067,78.545,2385.47,1128.29,
20,107896.501,1660.91,40149.114,61058.798,114.422,2369.96,1114.5,
21,105504.295,1592.09,40149.114,58740.14,195.737,2323.37,1027.54,
22,102126.957,1478.56,9843.867,85445.014,2.86,2348.68,966.74,
23,98684.506,1262.96,9843.867,81950.41,3.736,1940.04,862.18,
0,97065.919,1214.79,9843.867,80306.548,9.09,1785.86,828.18,
1,95257.55,1113.79,9843.867,78452.094,8.999,1617.51,735.35,
2,94160.469,1057.9,9843.867,77361.93,35.003,1493.75,694.6,
3,93527.809,1026.78,9843.867,76741.026,56.271,1454.85,665.32,
4,93765.866,1040.89,9843.867,76985.489,60.319,1478.3,666.43,
5,95021.645,1096.98,9843.867,78246.631,51.478,1559.91,693.98,
6,96406.664,1174.95,25476.897,64003.764,33.621,1687.37,729.15,
7,98108.434,1286.43,25476.897,65710.38,26.369,1866.45,806.67,
8,100792.635,1417.04,21275.63,72693.706,90.753,2217.97,876.59,
9,103629.086,1547.87,21275.63,75468.681,24.443,2384.32,978.85,
10,105457.94,1577.96,21275.63,77283.516,12.328,2246.48,1034.59,
11,105892.273,1571.65,21275.63,77682.626,6.862,2255.56,1036.1,
12,105709.978,1570.05,21275.63,77480.352,12.552,2255.0,1036.05,
13,105549.516,1572.62,21275.63,77332.338,15.3,2247.27,1029.52,
14,105485.252,1578.37,21275.63,77296.31,11.648,2242.66,1021.24,
15,105947.571,1569.61,21275.63,77753.619,10.286,2127.12,1002.4,
16,107479.999,1618.44,21275.63,79323.577,6.113,2237.75,1027.07,
17,109140.764,1641.32,21275.63,81037.727,4.881,2299.86,1062.96,
18,109922.906,1660.4,40149.114,63029.814,62.644,2332.52,1116.3,
19,109199.27,1636.72,40149.114,62335.557,79.593,2331.09,1119.38,
20,107477.283,1621.39,40149.114,60633.32,107.404,2318.21,1095.3,
21,104860.948,1537.82,40149.114,58086.573,193.141,2281.09,1014.33,
22,101142.93,1394.3,9843.867,84457.477,3.22,2201.1,940.49,
23,97927.258,1217.36,9843.867,81166.399,3.572,1760.94,844.74,
0,96867.639,1164.32,9843.867,80090.192,7.256,1634.65,792.95,
1,95481.244,1086.79,9843.867,78679.37,20.25,1524.09,720.98,
2,95118.024,1073.76,9843.867,78312.638,46.937,1489.78,713.18,
3,95471.953,1078.26,9843.867,78672.834,63.033,1483.91,711.96,
4,96683.962,1098.84,9843.867,79893.312,64.978,1500.12,713.51,
5,99362.281,1282.12,9843.867,82482.256,48.683,1751.37,816.65,
6,103189.865,1460.41,25476.897,70630.283,17.488,2135.84,915.59,
7,107579.4,1688.36,25476.897,74914.795,10.62,2390.66,1110.14,
8,110824.51,1746.81,21275.63,82428.906,19.702,2459.94,1154.53,
9,113002.676,1775.87,21275.63,84601.484,12.72,2503.84,1228.45,
10,113428.875,1784.16,21275.63,85004.388,14.28,2475.17,1245.67,
11,113001.738,1790.61,21275.63,84570.001,14.941,2483.66,1238.68,
12,112259.644,1773.77,21275.63,83802.726,17.803,2470.3,1226.06,
13,112196.645,1780.25,21275.63,83734.854,20.694,2454.12,1243.07,
14,111831.827,1777.31,21275.63,83350.562,10.324,2437.02,1236.5,
