Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;102902.918;1063.80;10094.352;85864.814;202.907;2384.11;650.84;
1;101200.572;990.99;10094.352;84266.745;314.028;2344.90;598.60;
2;100521.036;898.66;10094.352;83665.068;380.432;1730.00;530.43;
3;100654.591;892.11;10094.352;83847.921;414.312;1730.00;517.58;
4;101722.075;984.22;10094.352;84902.953;416.033;1730.00;584.40;
5;104783.578;1125.70;10094.352;87879.700;356.569;1795.66;648.47;
6;108565.276;1319.02;25458.661;76274.586;333.896;1789.62;1.57;
7;113346.592;1628.65;25458.661;80866.053;216.431;2593.87;944.67;
8;117382.709;1801.49;21459.107;89180.142;447.465;2896.56;1084.95;
9;119591.042;1850.74;21459.107;91305.934;342.222;2978.18;1138.76;
10;119880.348;1860.75;21459.107;91554.647;306.764;2987.22;1143.48;
11;119355.509;1881.71;21459.107;91005.928;285.879;3005.26;1190.01;
12;118556.745;1834.82;21459.107;90162.234;261.639;2985.71;1150.77;
13;118800.071;1848.60;21459.107;90440.797;275.760;2953.48;1140.98;
14;118953.419;1864.51;21459.107;90595.380;292.712;2966.67;1150.73;
15;119430.517;1831.25;21459.107;91059.009;267.136;3024.24;1122.48;
16;120289.303;1842.82;21459.107;91848.877;192.428;3103.00;1142.39;
17;120195.587;1829.36;21459.107;91781.617;148.323;2775.73;1166.55;
18;118936.316;1809.33;39991.376;72207.805;355.003;2782.31;1161.37;
19;117144.889;1789.10;39991.376;70443.572;406.357;2771.75;1134.38;
20;114805.713;1736.68;39991.376;68133.165;462.327;2708.07;1103.12;
21;112151.615;1601.99;39991.376;65604.288;529.071;2632.87;996.50;
22;108373.531;1338.83;10094.352;91168.050;13.264;2511.21;1.62;
23;105889.533;1189.68;10094.352;88728.692;100.297;2292.52;746.80;
