Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;97556.026;1155.74;10094.352;80020.795;68.683;2414.72;716.63;
1;95718.734;1107.55;10094.352;78251.602;153.454;1448.35;685.12;
2;94864.653;1082.14;10094.352;77458.177;216.921;1420.51;672.13;
3;94709.273;1079.34;10094.352;77338.536;262.028;1404.06;659.10;
4;95709.475;1111.83;10094.352;78369.279;278.704;1416.31;675.58;
5;97999.856;1183.41;10094.352;80642.866;252.227;1546.03;716.49;
6;101041.796;1328.53;25458.661;68284.918;213.897;1754.31;794.30;
7;104967.475;1589.12;25458.661;71937.799;114.124;2380.08;980.54;
8;108585.690;1766.61;21459.107;79804.379;336.228;2609.82;1120.14;
9;110454.242;1782.22;21459.107;81582.736;228.278;2658.55;1142.53;
10;110639.502;1782.68;21459.107;81712.015;160.710;2676.72;1147.79;
11;110104.416;1797.83;21459.107;81119.623;137.737;2686.91;1165.52;
12;109464.351;1780.73;21459.107;80464.651;133.861;2651.58;1173.45;
13;109443.244;1779.26;21459.107;80453.832;142.909;2616.09;1184.77;
14;109228.440;1782.48;21459.107;80259.615;164.557;2676.05;1171.37;
15;109792.991;1776.05;21459.107;80829.859;172.141;2612.20;1162.07;
16;111181.981;1809.11;21459.107;82128.662;96.905;2548.40;1195.73;
17;111339.011;1813.22;21459.107;82325.878;45.188;2590.37;1210.56;
18;110062.876;1788.75;39991.376;62755.523;271.287;2670.39;1191.96;
19;108635.825;1784.41;39991.376;61375.164;325.287;2684.31;1185.22;
20;106719.782;1750.33;39991.376;59504.506;382.163;2609.32;1150.09;
21;104580.714;1677.21;39991.376;57705.949;462.272;2616.01;1088.92;
22;101604.859;1441.39;10094.352;84160.149;5.371;2522.22;906.40;
23;98838.859;1201.40;10094.352;81408.557;5.759;1881.53;755.15;
