Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;97650.227;1307.97;10094.352;80393.394;66.026;2417.11;880.88;
1;95938.121;1239.97;10094.352;78734.734;135.421;2313.93;681.95;
2;94761.853;1213.92;10094.352;77605.257;206.086;2310.29;681.96;
3;94497.612;1201.13;10094.352;77375.626;242.709;1818.00;682.11;
4;94872.067;1220.28;10094.352;77775.712;247.987;2312.25;681.83;
5;96219.009;1248.75;10094.352;79134.101;209.875;1808.94;681.95;
6;98049.347;1323.01;25458.661;65582.428;174.466;1955.95;682.28;
7;101456.690;1493.24;25458.661;68938.271;40.717;2334.63;682.42;
8;104727.755;1815.62;21459.107;76508.609;298.403;2346.29;682.57;
9;107382.863;1926.76;21459.107;79094.737;222.544;2371.20;682.56;
10;108703.344;1955.31;21459.107;80407.675;192.747;2362.55;682.47;
11;109062.709;1961.63;21459.107;80744.558;191.230;2358.60;682.41;
12;108820.871;1952.83;21459.107;80489.074;201.928;2368.99;693.49;
13;108640.949;1955.84;21459.107;80318.785;211.457;2367.15;694.52;
14;108827.594;1961.17;21459.107;80513.329;215.009;2366.85;688.26;
15;109469.154;1966.67;21459.107;81150.660;191.464;2367.22;683.17;
16;111061.331;1985.58;21459.107;82581.567;111.837;2395.42;683.07;
17;111509.506;1987.70;21459.107;83064.723;37.569;2463.40;682.88;
18;110305.544;1945.74;39991.376;63571.375;295.668;2488.68;682.63;
19;108465.534;1878.68;39991.376;61760.727;335.231;2482.78;682.54;
20;106582.407;1829.75;39991.376;59924.177;386.871;2427.08;682.24;
21;104374.247;1688.75;39991.376;57737.133;462.675;2356.79;681.85;
22;101311.608;1551.80;10094.352;84036.470;5.371;2367.09;682.03;
23;98271.305;1330.42;10094.352;80958.507;9.766;2323.13;682.53;
