◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
22,99004.533,1266.53,8507.576,83612.984,8.559,2319.7,867.71,
23,95671.411,1108.73,8507.576,80223.428,9.4,2285.85,747.41,
0,94094.308,1090.88,8507.576,78588.814,9.457,1626.52,779.81,
1,92752.195,1066.09,8507.576,77235.388,12.759,1953.78,735.63,
2,91981.946,1020.49,8507.576,76479.74,41.566,1679.47,741.89,
3,92420.273,1030.91,8507.576,76941.478,57.363,1673.74,727.31,
4,93746.651,1065.29,8507.576,78286.003,61.601,1496.87,802.09,
5,96134.658,1137.02,8507.576,80668.556,31.305,1592.66,819.17,
6,99485.354,1328.98,21741.374,70768.95,11.808,1964.51,997.31,
7,103376.188,1541.68,21741.374,74596.863,14.284,2359.44,1151.12,
8,106793.591,1631.57,18186.01,81587.393,9.129,2535.54,1222.0,
9,108087.167,1652.2,18186.01,82929.22,29.973,2632.23,1189.73,
10,108037.554,1636.42,18186.01,82841.468,23.54,2634.1,1160.79,
11,106998.412,1652.38,18186.01,81781.186,28.696,2621.44,1175.16,
12,106224.802,1643.13,18186.01,81007.804,31.198,2595.73,1164.36,
13,106952.018,1657.05,18186.01,81756.097,31.842,2587.42,1193.57,
14,106484.352,1653.15,18186.01,81286.939,23.716,2580.78,1201.51,
15,106204.787,1651.37,18186.01,81039.989,22.416,2578.17,1214.65,
16,106112.859,1644.88,18186.01,80949.224,23.804,2558.66,1247.99,
17,106488.277,1605.13,18186.01,81321.69,23.575,2340.02,1192.48,
18,107795.354,1644.17,34260.753,66610.539,49.397,2587.86,1197.03,
19,107328.618,1640.42,34260.753,66181.157,61.295,2587.26,1148.98,
20,105478.987,1618.71,34260.753,64340.299,79.75,2558.96,1119.94,
21,102876.912,1503.4,34260.753,61865.845,106.671,2438.49,979.78,
22,99145.552,1338.05,8507.576,83798.938,19.619,2351.24,904.63,
23,95877.577,1094.66,8507.576,80447.974,9.224,2028.05,758.89,
0,94339.579,1055.69,8507.576,78890.252,9.835,1706.83,773.26,
1,92938.948,1017.96,8507.576,77476.165,12.809,1626.3,728.51,
2,92261.337,964.64,8507.576,76814.731,35.622,1501.8,671.15,
3,92703.309,977.82,8507.576,77291.693,52.984,1492.41,670.9,
4,94175.279,1045.97,8507.576,78774.415,59.196,1511.23,719.45,
5,96310.8,1095.63,8507.576,80889.162,33.695,1496.57,772.82,
6,99676.178,1277.13,21741.374,70972.839,13.386,1850.84,905.15,
7,103496.122,1497.27,21741.374,74726.598,11.53,2182.75,1012.44,
8,106938.104,1670.59,18186.01,81742.576,7.727,2392.52,962.05,
9,108675.6,1686.85,18186.01,83466.612,16.503,2637.66,1260.21,
10,108695.316,1684.9,18186.01,83453.498,9.964,2359.34,1239.68,
11,107960.366,1681.1,18186.01,82701.53,14.601,2360.7,1205.47,
12,106971.389,1667.71,18186.01,81673.529,17.366,2359.59,1183.93,
13,106723.226,1665.08,18186.01,81447.783,17.451,2359.73,1170.72,
14,106202.208,1659.26,18186.01,80950.596,3.762,2359.96,1159.06,
15,105871.151,1657.62,18186.01,80623.303,2.029,2332.94,1176.53,
16,105992.586,1666.31,18186.01,80749.051,3.027,2284.07,1220.3,
17,106536.266,1638.05,18186.01,81357.909,2.816,2305.73,1194.58,
18,107869.489,1659.55,34260.753,66680.321,35.673,2322.23,942.0,
19,107072.543,1649.84,34260.753,65923.428,52.999,2312.6,942.0,
20,105571.906,1611.14,34260.753,64437.959,72.643,2324.66,949.04,
21,103000.88,1502.19,34260.753,62147.783,98.76,2328.18,940.68,
22,99392.579,1259.56,8507.576,84137.023,8.057,2338.34,686.55,
23,96005.775,1136.48,8507.576,80717.433,6.59,2501.38,440.15,
0,94588.094,1160.2,8507.576,79255.553,13.262,2342.72,528.65,
1,93031.767,1079.33,8507.576,77677.94,15.581,1973.81,733.67,
2,91837.944,1025.68,8507.576,76502.845,36.586,1886.68,676.87,
3,91712.499,1005.83,8507.576,76389.16,54.715,1742.81,675.41,
4,92303.393,1032.22,8507.576,76970.016,54.862,1768.32,745.96,
5,93200.232,1064.32,8507.576,77839.63,30.043,1523.69,726.25,
6,94495.731,1095.26,21741.374,65898.382,16.117,1555.66,737.59,
7,96734.042,1159.08,21741.374,68096.351,9.916,1616.35,831.48,
8,99652.728,1450.74,18186.01,74608.414,36.371,2363.95,970.47,
9,102123.598,1586.65,18186.01,77073.249,17.709,2385.15,1190.83,
10,103241.698,1609.16,18186.01,78170.491,8.297,2345.48,1034.0,
11,103255.9,1612.44,18186.01,78192.025,10.364,2349.14,1034.0,
12,103018.039,1608.65,18186.01,77957.911,12.986,2349.17,1034.0,
13,102715.896,1602.11,18186.01,77657.41,13.49,2349.06,1034.0,
14,102480.962,1598.16,18186.01,77425.099,11.085,2370.35,1034.0,
15,102495.621,1561.49,18186.01,77456.078,8.655,2344.7,1034.0,
16,103174.655,1581.35,18186.01,78184.852,8.299,2298.44,1034.0,
17,104330.796,1595.95,18186.01,79371.842,4.969,2303.56,1034.0,
18,105951.509,1631.66,34260.753,64994.019,41.122,2344.15,1034.0,
19,105757.015,1635.68,34260.753,64829.178,51.731,2330.1,1034.0,
20,104441.512,1628.72,34260.753,63523.34,71.227,2348.17,1034.0,
21,101959.041,1601.7,34260.753,61041.828,97.5,2408.12,1034.0,
22,98437.258,1424.85,8507.576,83160.731,11.338,2367.41,933.7,
23,95504.188,1211.6,8507.576,80191.684,10.942,2362.37,540.92,
0,94353.84,1164.37,8507.576,78953.095,22.157,1685.54,827.2,
1,92774.521,1111.7,8507.576,77361.487,22.701,1570.89,825.6,
2,91722.129,1055.13,8507.576,76317.506,26.719,1478.42,763.88,
3,91549.951,1041.2,8507.576,76160.734,46.26,1441.03,720.6,
4,92027.007,1064.9,8507.576,76655.004,56.317,1466.9,722.19,
5,92949.195,1104.49,8507.576,77554.809,26.453,1510.3,792.18,
6,94163.828,1130.67,21741.374,65535.278,20.114,1576.67,819.12,
7,96554.737,1254.54,21741.374,67945.918,11.893,1824.93,902.64,
8,99825.372,1520.99,18186.01,74822.211,42.25,2357.9,1061.23,
9,102500.609,1664.22,18186.01,77490.624,20.014,2394.25,1253.38,
10,103711.136,1680.11,18186.01,78672.99,7.982,2346.85,1259.49,
11,103736.873,1684.44,18186.01,78700.153,10.968,2378.76,1256.5,
12,103351.372,1680.09,18186.01,78306.581,13.71,2378.87,1254.21,
13,103009.835,1676.77,18186.01,77992.633,15.329,2376.63,1253.67,
14,102745.83,1675.61,18186.01,77714.814,11.879,2369.71,1252.39,
15,102740.834,1654.24,18186.01,77715.438,7.792,2344.6,1246.42,
16,103563.934,1670.38,18186.01,78564.312,8.42,2299.13,1235.71,
