Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;91415.250;1174.81;8507.576;76231.470;11.983;2269.81;856.37;
1;89928.716;1106.88;8507.576;74742.098;44.791;2245.76;682.92;
2;89382.256;1086.63;8507.576;74216.174;71.965;2231.29;666.39;
3;89577.804;1065.22;8507.576;74415.014;85.351;1541.11;660.33;
4;90795.120;1104.38;8507.576;75637.437;80.124;1795.66;676.41;
5;92723.899;1195.81;8507.576;77588.416;60.204;1864.00;746.15;
6;95657.219;1411.11;21741.374;67280.623;58.521;2479.03;890.91;
7;99537.806;1653.39;21741.374;71015.081;14.123;2508.49;1021.17;
8;103171.524;1740.17;18186.010;78250.735;41.918;2359.35;914.23;
9;104804.663;1764.63;18186.010;79806.343;8.122;2374.23;877.22;
10;104763.894;1758.26;18186.010;79735.398;3.032;2503.88;0.00;
11;104086.756;1764.39;18186.010;79015.451;5.995;2507.84;0.00;
12;103292.301;1749.90;18186.010;78196.727;8.957;2506.36;0.00;
13;103224.350;1751.19;18186.010;78122.919;10.245;2503.77;0.00;
14;102590.182;1745.61;18186.010;77502.442;11.712;2373.70;872.23;
15;102029.739;1736.17;18186.010;76969.397;12.115;2382.82;904.87;
16;101850.756;1743.05;18186.010;76841.318;10.819;2457.19;1121.02;
17;101742.480;1721.48;18186.010;76802.060;14.543;2441.44;1099.20;
18;103012.927;1733.34;34260.753;62064.938;48.426;2471.89;1133.28;
19;104214.693;1781.03;34260.753;63328.579;58.772;2748.98;1163.19;
20;103041.797;1751.41;34260.753;62210.220;80.876;2618.34;986.62;
21;100419.208;1693.14;34260.753;59668.428;127.802;2458.21;881.39;
22;96326.969;1475.18;8507.576;81231.590;16.840;2343.86;877.42;
23;93367.183;1345.36;8507.576;78233.837;14.927;2251.12;872.09;
