Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;74215.790;1187.18;7362.790;60735.756;46.614;1404.61;751.46;
1;72448.217;1064.63;7362.790;59030.511;144.369;1240.50;651.41;
2;71802.922;1041.61;7362.790;58446.143;200.559;1232.60;631.08;
3;71403.880;1021.75;7362.790;58061.745;221.479;1214.30;611.12;
4;71984.522;1036.40;7362.790;58694.330;273.901;1253.20;605.66;
5;74010.395;1175.58;7362.790;60739.429;265.889;1443.60;679.76;
6;77913.869;1476.00;20472.623;51448.183;187.618;1724.00;864.81;
7;81188.447;1703.31;20472.623;54517.999;72.289;2115.93;1021.69;
8;85209.839;1844.75;17180.630;61995.717;171.442;2295.93;1104.32;
9;87382.770;1881.36;17180.630;64118.021;95.642;2352.95;1162.69;
10;87809.489;1890.86;17180.630;64509.738;62.619;2365.54;1200.00;
11;87594.917;1883.57;17180.630;64271.087;58.266;2369.86;1180.42;
12;87401.799;1879.58;17180.630;64088.156;62.681;2368.02;1172.05;
13;87763.807;1891.91;17180.630;64468.795;58.910;2379.12;1188.73;
14;87397.966;1888.54;17180.630;64097.657;77.035;2379.93;1171.59;
15;86870.920;1878.96;17180.630;63597.569;50.868;2381.88;1173.78;
16;86197.266;1869.77;17180.630;62919.893;42.852;2377.67;1161.56;
17;85407.281;1858.85;17180.630;62160.247;52.491;2346.03;1134.21;
18;85146.271;1857.46;17180.630;61897.361;59.580;2345.12;1136.94;
19;84713.550;1850.16;32423.929;46351.230;192.296;2336.65;1138.75;
20;84887.490;1842.23;32423.929;46501.754;134.154;2347.41;1103.92;
21;84165.951;1830.07;32423.929;45965.327;207.679;2347.96;1137.95;
22;80779.530;1694.75;32423.929;42815.057;441.802;2179.87;1074.25;
23;77092.524;1391.65;7362.790;63667.873;9.970;1663.94;876.90;
