Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;76186.046;1187.32;7362.790;62545.910;15.816;1443.59;823.66;
1;74454.989;1049.28;7362.790;60822.000;38.784;1286.34;716.05;
2;73455.613;967.01;7362.790;59842.366;66.992;1144.47;649.85;
3;73222.791;933.48;7362.790;59628.500;87.347;1119.87;605.08;
4;73822.447;937.36;7362.790;60267.121;109.507;1123.50;0.00;
5;75677.884;1195.71;7362.790;62111.649;101.863;1439.13;0.00;
6;78778.191;1368.61;20472.623;52050.239;79.343;1617.63;882.72;
7;82550.583;1586.26;20472.623;55693.675;65.584;2117.74;0.00;
8;86156.406;1803.85;17180.630;62673.555;100.477;2380.96;0.00;
9;88135.066;1896.95;17180.630;64617.529;77.217;2475.64;1174.66;
10;88228.440;1893.21;17180.630;64671.362;56.827;2479.06;1168.39;
11;87764.178;1909.63;17180.630;64167.245;50.377;2470.40;1166.92;
12;87187.981;1900.89;17180.630;63594.102;53.878;2424.42;1168.61;
13;87258.889;1910.97;17180.630;63696.732;49.380;2437.97;1172.67;
14;86856.755;1901.95;17180.630;63312.873;61.705;2442.87;1170.54;
15;86276.319;1892.84;17180.630;62763.955;44.507;2435.25;1176.60;
16;85785.320;1869.26;17180.630;62295.484;33.993;2425.40;1180.56;
17;85201.539;1843.74;17180.630;61752.998;45.440;2403.03;1168.12;
18;85052.247;1818.96;17180.630;61599.286;57.254;2328.84;1157.28;
19;85464.795;1818.64;32423.929;46835.008;113.743;2371.43;1153.38;
20;86110.676;1831.28;32423.929;47512.048;124.630;2433.06;1152.31;
21;85318.883;1852.40;32423.929;47081.463;144.311;2449.89;1169.09;
22;82184.289;1710.09;32423.929;44026.732;284.564;2297.78;1152.53;
23;79312.189;1464.33;7362.790;65845.490;6.646;1767.24;992.91;
