Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;81314.895;1442.66;7362.790;67659.741;14.623;1729.15;1056.03;
1;79678.956;1349.69;7362.790;66004.399;16.215;1545.91;981.11;
2;78824.559;1301.18;7362.790;65144.798;21.700;1470.01;935.87;
3;78223.015;1266.62;7362.790;64550.158;31.293;1470.01;904.03;
4;78179.559;1241.07;7362.790;64516.712;35.081;1470.01;872.37;
5;78514.294;1236.29;7362.790;64864.232;38.220;1470.01;860.19;
6;79593.552;1273.86;20472.623;52837.082;28.715;1488.30;872.42;
7;82009.795;1351.05;20472.623;55255.757;27.929;1557.38;935.74;
8;84830.090;1568.98;17180.630;61410.864;49.518;1781.28;1062.57;
9;86736.249;1658.83;17180.630;63287.827;19.423;1955.62;1174.69;
10;87489.843;1715.63;17180.630;64035.009;12.564;2056.65;1239.17;
11;87603.988;1695.43;17180.630;64120.461;13.085;1995.73;1249.18;
12;87370.203;1688.35;17180.630;63878.938;15.933;1989.45;1223.74;
13;87158.263;1685.86;17180.630;63671.537;14.390;1987.92;1226.68;
14;86874.242;1684.01;17180.630;63392.460;17.276;1982.62;1217.86;
15;86673.725;1674.01;17180.630;63194.146;14.026;1948.37;1200.52;
16;86743.061;1649.87;17180.630;63276.284;14.251;1933.96;1168.79;
17;86835.691;1681.44;17180.630;63380.497;14.003;2459.83;793.72;
18;87136.701;1696.64;17180.630;63723.229;14.095;2460.75;853.16;
19;88251.518;1741.17;32423.929;49677.482;59.136;2503.45;828.78;
20;89589.396;1816.37;32423.929;51044.084;72.576;2506.75;655.85;
21;88402.000;1833.55;32423.929;49870.101;113.514;2598.76;127.77;
22;85202.040;1686.27;32423.929;46805.613;231.810;2090.22;1230.05;
23;82909.755;1561.11;7362.790;69311.767;10.504;1884.90;1144.27;
