◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
23,82392.957,1361.12,7362.79,68622.862,19.44,1686.81,937.92,
0,80188.089,1161.1,7362.79,66468.508,28.665,1470.01,768.32,
1,78702.867,1070.95,7362.79,64986.155,28.332,1470.01,701.91,
2,78123.108,1012.35,7362.79,64429.164,47.119,1470.01,651.55,
3,78070.372,1003.91,7362.79,64379.289,55.201,1470.01,629.01,
4,78470.856,1062.68,7362.79,64795.214,59.571,1470.01,662.46,
5,79942.816,1127.52,7362.79,66281.924,72.301,1470.01,691.88,
6,82179.982,1300.72,20472.623,55358.588,66.199,1516.64,826.97,
7,85518.329,1486.2,20472.623,58618.446,66.253,1794.36,931.0,
8,88872.065,1563.05,17180.63,65307.929,113.166,1935.18,984.0,
9,90608.985,1651.29,17180.63,66981.82,68.662,2146.76,937.37,
10,90681.795,1717.29,17180.63,67032.571,70.201,2223.82,1183.44,
11,90140.989,1680.4,17180.63,66480.11,72.859,2126.81,857.12,
12,89494.007,1679.15,17180.63,65841.751,77.418,2125.95,852.0,
13,89591.676,1687.85,17180.63,65970.045,82.506,2139.9,859.12,
14,89133.354,1674.88,17180.63,65546.824,75.33,2117.1,859.22,
15,88576.693,1647.7,17180.63,64975.994,46.662,2056.85,855.96,
16,88125.828,1627.02,17180.63,64509.99,36.127,2002.14,897.02,
17,87667.268,1608.72,17180.63,64066.78,27.722,2014.52,1149.93,
18,88067.932,1582.77,17180.63,64494.901,40.298,1967.23,1102.19,
19,88882.716,1675.66,32423.929,50137.558,92.656,2198.74,1112.21,
20,89435.517,1756.05,32423.929,50744.335,111.317,2481.14,1146.02,
21,88204.02,1769.23,32423.929,49661.866,122.078,2478.84,1113.17,
22,84957.389,1539.35,32423.929,46468.487,277.346,1993.61,1044.27,
23,82375.078,1384.68,7362.79,68637.299,28.149,1656.31,955.43,
0,79538.514,1359.87,7362.79,65724.404,24.222,1908.61,919.96,
1,78289.289,1195.7,7362.79,64463.637,26.737,1470.01,802.72,
2,77781.537,1134.15,7362.79,63944.954,47.544,1470.01,758.58,
3,77697.998,1121.0,7362.79,63881.61,60.521,1470.01,734.01,
4,78089.398,1173.87,7362.79,64287.709,60.464,1470.01,763.98,
5,79541.687,1296.1,7362.79,65766.3,69.384,1570.6,830.59,
6,82241.308,1392.77,20472.623,55320.533,60.807,1628.32,918.6,
7,85613.709,1571.31,20472.623,58594.291,51.468,1869.66,1034.47,
8,88934.356,1721.54,17180.63,65266.711,112.336,2165.64,1169.87,
9,90776.47,1765.63,17180.63,67064.914,60.928,2230.28,1225.73,
10,90841.41,1810.91,17180.63,67104.036,57.096,2416.77,1274.11,
11,90287.951,1841.29,17180.63,66532.762,57.369,2397.87,1356.75,
12,89732.275,1815.13,17180.63,65948.446,64.357,2217.74,1359.65,
13,89719.477,1827.84,17180.63,65960.366,65.046,2220.19,1289.77,
14,89285.727,1810.13,17180.63,65526.9,56.557,2194.24,1250.57,
15,88609.706,1781.62,17180.63,64827.811,28.323,2151.45,1247.48,
16,88097.421,1765.63,17180.63,64337.352,17.452,2141.62,1218.0,
17,87652.454,1763.19,17180.63,63936.518,16.585,2197.65,1211.39,
18,88043.02,1764.07,17180.63,64324.759,30.584,2155.5,1199.06,
19,89043.942,1760.46,32423.929,50164.184,88.059,2232.39,1229.98,
20,89683.332,1819.53,32423.929,50850.401,103.326,2451.85,1246.36,
21,88498.531,1832.16,32423.929,50022.305,118.457,2451.32,1016.61,
22,85185.777,1660.49,32423.929,46930.833,287.117,2132.75,1187.96,
23,82418.143,1519.78,7362.79,68902.122,17.334,1849.87,1081.24,
0,80455.185,1450.01,7362.79,66843.446,18.665,1710.49,1069.56,
1,78855.799,1392.17,7362.79,65220.183,23.048,1575.72,1032.38,
2,77935.932,1301.36,7362.79,64319.095,45.002,1470.01,953.83,
3,77437.322,1188.95,7362.79,63825.544,56.094,1470.01,868.19,
4,77430.982,1193.76,7362.79,63839.698,62.171,1470.01,862.28,
5,78216.163,1299.06,7362.79,64632.872,72.637,1497.18,913.54,
6,79804.3,1350.38,20472.623,53144.995,52.475,1541.04,946.08,
7,82922.966,1428.55,20472.623,56212.195,22.23,1648.8,1021.64,
8,86120.249,1703.31,17180.63,62812.541,84.006,2049.73,1191.23,
9,88289.404,1819.41,17180.63,64961.421,23.685,2241.44,1312.46,
10,88816.792,1873.45,17180.63,65456.908,13.026,2317.17,1388.81,
11,88738.79,1848.26,17180.63,65347.497,13.156,2307.7,1372.94,
12,88259.634,1806.25,17180.63,64857.192,16.742,2187.65,1332.08,
13,87984.91,1802.97,17180.63,64582.772,17.643,2191.42,1334.77,
14,87471.176,1790.47,17180.63,64069.796,25.572,2179.11,1326.36,
15,87033.951,1785.62,17180.63,63619.381,30.579,2167.66,1300.23,
16,86831.088,1767.4,17180.63,63391.687,20.988,2185.87,1284.39,
17,86751.08,1747.63,17180.63,63351.046,23.835,2189.5,1239.74,
18,87095.292,1750.16,17180.63,63712.841,21.45,2195.63,1227.4,
19,88018.213,1797.76,32423.929,49496.812,86.842,2345.31,1273.49,
20,89110.209,1836.38,32423.929,50611.197,95.849,2440.58,1265.52,
21,87837.289,1813.99,32423.929,49381.118,151.705,2425.49,1281.86,
22,84771.187,1695.31,32423.929,46460.826,303.894,2164.49,1246.16,
23,82577.842,1538.78,7362.79,68987.884,15.89,1845.09,1162.31,
0,80222.551,1413.57,7362.79,66542.48,16.627,1738.61,1032.0,
1,78787.346,1287.14,7362.79,65078.687,17.194,1522.74,945.71,
2,78079.61,1175.5,7362.79,64364.488,22.372,1470.01,862.68,
3,77533.861,1132.07,7362.79,63832.968,35.914,1470.01,830.36,
4,77375.59,1118.56,7362.79,63671.978,37.163,1470.01,811.07,
5,77915.135,1088.64,7362.79,64233.805,44.269,1470.01,780.22,
6,78834.82,1214.22,20472.623,52073.691,36.298,1480.0,854.03,
7,81128.925,1293.93,20472.623,54368.668,26.894,1569.58,872.89,
8,84255.891,1415.68,17180.63,60859.197,66.905,1736.68,941.25,
9,86357.307,1522.49,17180.63,62924.355,24.593,1855.52,954.07,
