Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;76275.122;1394.38;7362.790;62958.398;12.713;1637.40;978.34;
1;74658.792;1256.38;7362.790;61316.567;21.405;1415.67;880.60;
2;73739.809;1141.92;7362.790;60433.292;54.949;1288.79;801.65;
3;72924.370;1071.35;7362.790;59622.776;75.339;1201.40;747.66;
4;72828.910;1065.49;7362.790;59551.236;88.525;1217.19;730.88;
5;73128.294;1031.20;7362.790;59846.738;94.077;1194.43;681.10;
6;74294.044;1111.12;20472.623;47902.205;74.701;1302.84;752.87;
7;76935.526;1322.62;20472.623;50501.816;41.861;1530.26;900.17;
8;80148.320;1482.87;17180.630;57067.442;104.082;1709.14;1067.10;
9;82418.857;1632.14;17180.630;59272.842;39.806;1998.76;1096.53;
10;83257.680;1681.26;17180.630;60097.809;26.646;2088.46;1037.91;
11;83379.686;1690.53;17180.630;60191.877;24.291;2100.63;988.95;
12;83085.273;1684.13;17180.630;59898.669;31.024;2097.30;943.74;
13;82762.256;1678.93;17180.630;59593.656;29.610;2096.39;931.37;
14;82580.365;1680.30;17180.630;59421.311;34.630;2095.81;921.33;
15;82397.066;1678.65;17180.630;59258.387;50.032;2091.79;953.46;
16;82404.124;1655.56;17180.630;59291.332;39.645;2028.38;1033.11;
17;82570.111;1637.08;17180.630;59483.776;35.198;1990.66;1140.77;
18;82931.900;1692.18;17180.630;59878.325;35.370;1992.55;1190.35;
19;83908.436;1789.41;32423.929;45707.889;102.020;2162.69;1239.17;
20;84672.854;1831.12;32423.929;46490.732;105.088;2286.53;1258.20;
21;83828.487;1788.69;32423.929;45709.799;170.501;2275.27;1255.51;
22;80791.785;1618.19;32423.929;42777.702;315.440;2014.65;1077.38;
23;78219.782;1444.21;7362.790;64909.435;11.926;1726.69;1007.73;
