Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;76417.119;1412.88;7371.413;62915.286;33.366;1637.37;937.82;
1;74659.946;1283.17;7371.413;61213.846;126.798;1484.00;867.50;
2;73652.838;1219.57;7371.413;60258.337;182.541;1414.17;808.54;
3;73305.951;1206.11;7371.413;59923.281;197.850;1402.22;802.94;
4;73910.879;1263.35;7371.413;60508.124;176.238;1468.57;828.00;
5;74739.991;1319.25;7371.413;61328.404;153.668;1545.96;850.52;
6;76348.194;1358.83;20629.772;49737.573;156.827;1882.26;882.34;
7;79910.145;1501.43;20629.772;53245.798;58.698;1886.90;934.68;
8;83625.099;1780.04;17402.277;60384.880;258.356;2220.88;1083.12;
9;86105.488;1914.06;17402.277;62738.633;155.394;2452.09;1207.45;
10;86947.271;1944.83;17402.277;63542.586;144.300;2518.23;1269.80;
11;87017.121;1945.91;17402.277;63587.438;141.500;2529.07;1278.11;
12;86650.972;1930.02;17402.277;63217.704;136.735;2515.75;1290.62;
13;86382.573;1918.65;17402.277;62944.662;132.233;2516.06;1278.16;
14;86255.562;1920.76;17402.277;62807.067;135.476;2467.47;1290.75;
15;86107.702;1920.89;17402.277;62695.293;146.466;2461.95;1233.04;
16;86146.230;1929.40;17402.277;62733.782;126.169;2482.26;1198.87;
17;86535.621;1909.98;17402.277;63139.263;120.409;2425.81;1157.97;
18;87830.367;1925.51;17402.277;64412.863;43.190;2469.57;1141.58;
19;88883.432;1979.08;32729.955;50221.797;96.520;2544.29;1183.69;
20;87824.552;1934.88;32729.955;49196.341;126.118;2799.69;934.58;
21;84656.402;1776.97;32729.955;46186.540;286.537;2399.83;1098.79;
22;80831.990;1585.47;32729.955;42671.357;599.133;2008.70;1045.68;
23;78255.967;1467.65;7371.413;64842.734;14.332;1731.94;952.98;
