Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;77204.816;1270.21;7371.413;63615.875;15.909;1531.30;734.24;
1;75566.890;1209.90;7371.413;62008.152;75.040;1443.33;690.80;
2;74554.228;1160.56;7371.413;61026.857;124.037;1387.68;649.16;
3;74219.734;1136.67;7371.413;60713.282;148.253;1388.76;625.29;
4;74635.683;1178.20;7371.413;61119.412;136.943;1427.48;647.42;
5;75878.422;1261.10;7371.413;62345.874;103.052;1485.44;691.13;
6;77329.964;1313.44;20629.772;50594.599;140.995;1607.14;703.76;
7;80870.580;1466.40;20629.772;54061.729;77.468;1740.00;778.30;
8;84577.437;1739.19;17402.277;61126.416;242.477;2030.00;936.23;
9;87005.669;1903.89;17402.277;63424.802;113.553;2333.49;1062.04;
10;87719.024;1923.02;17402.277;64076.496;67.211;2405.55;1086.13;
11;87807.514;1923.54;17402.277;64151.005;61.400;2395.14;1099.59;
12;87475.207;1904.09;17402.277;63826.464;69.854;2367.14;1093.13;
13;87262.416;1901.97;17402.277;63621.054;67.322;2396.14;1078.70;
14;87079.426;1902.17;17402.277;63456.086;81.982;2404.81;1091.30;
15;86868.062;1905.26;17402.277;63242.198;88.109;2414.66;1084.14;
16;87004.662;1900.05;17402.277;63424.180;77.175;2410.62;1054.08;
17;87435.916;1863.41;17402.277;63873.022;42.681;2383.70;1029.64;
18;89174.660;1916.21;17402.277;65640.006;10.957;2453.00;1059.82;
19;89577.658;1940.48;32729.955;50743.026;47.902;2456.02;1112.14;
20;87574.130;1866.68;32729.955;48789.145;85.241;2429.43;1058.41;
21;84424.905;1671.65;32729.955;45736.659;202.858;2315.16;954.62;
22;80962.954;1499.62;32729.955;42504.030;482.145;1891.61;879.48;
23;78491.582;1319.08;7371.413;64844.791;8.146;1600.00;753.71;
