Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;82378.306;1160.05;7768.955;68278.814;144.267;2316.48;684.12;
1;80671.821;1097.88;7768.955;66638.284;234.717;2315.10;639.43;
2;80161.278;1085.24;7768.955;66169.022;285.765;2298.94;622.40;
3;80240.467;1082.27;7768.955;66265.345;302.666;2293.96;615.35;
4;81500.868;1119.63;7768.955;67502.708;279.569;1815.75;636.27;
5;84230.613;1270.66;7768.955;70202.863;234.197;1818.06;733.74;
6;87522.836;1454.23;21293.324;60032.174;293.613;2012.68;834.60;
7;91083.048;1629.31;21293.324;63446.868;197.970;2336.45;944.47;
8;94767.940;1813.97;17974.487;70672.611;398.046;2773.51;1044.35;
9;97066.524;1834.57;17974.487;72880.798;331.682;2836.41;1033.89;
10;97273.887;1844.01;17974.487;73072.543;312.930;2823.12;1067.09;
11;96973.633;1849.35;17974.487;72780.927;312.274;2790.83;1058.41;
12;96237.008;1860.76;17974.487;72091.770;334.011;2761.65;1083.28;
13;96448.405;1865.24;17974.487;72323.348;337.230;2760.20;1088.13;
14;96201.043;1855.83;17974.487;72065.383;343.455;2775.65;1080.82;
15;96481.536;1874.04;17974.487;72318.678;332.807;2760.80;1078.23;
16;97017.249;1885.14;17974.487;72825.504;299.677;2765.30;1071.51;
17;97973.343;1908.22;17974.487;73686.858;186.177;2488.42;1085.70;
18;99176.901;1922.26;17974.487;74828.127;74.372;2688.83;1072.25;
19;98443.810;1908.75;33527.499;58737.778;229.362;2931.84;1095.67;
20;95695.335;1839.40;33527.499;56045.470;275.329;2635.81;1070.71;
21;92878.017;1752.60;33527.499;53361.370;344.644;2493.55;1035.14;
22;88975.134;1580.59;33527.499;49652.834;556.378;2361.61;971.04;
23;85872.161;1267.10;7768.955;71665.372;15.004;1697.96;766.90;
