Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;82012.390;959.01;7046.353;68354.569;15.492;1148.93;527.87;
1;80490.340;926.66;7046.353;66831.424;33.701;1067.70;503.86;
2;80041.096;884.16;7046.353;66389.275;35.047;1029.09;472.40;
3;80157.279;898.12;7046.353;66523.604;45.239;1067.58;469.73;
4;81546.456;955.92;7046.353;67904.221;41.897;1107.38;502.93;
5;84146.845;1045.17;7046.353;70489.351;24.325;1221.16;550.31;
6;87165.465;1301.70;19516.177;61048.525;26.901;1651.51;702.16;
7;90950.102;1464.22;19516.177;64725.277;29.219;2031.10;790.56;
8;94576.261;1590.88;16391.624;71567.345;64.957;2319.64;853.72;
9;96535.751;1619.71;16391.624;73545.754;74.732;2357.39;879.14;
10;96678.009;1621.03;16391.624;73656.446;87.821;2247.87;905.59;
11;96252.272;1611.35;16391.624;73217.342;87.429;2356.10;892.44;
12;95701.389;1600.25;16391.624;72661.949;93.072;2203.96;886.72;
13;95865.244;1603.60;16391.624;72834.705;95.610;2327.06;891.07;
14;95846.959;1618.74;16391.624;72838.301;93.957;2317.52;938.93;
15;95665.005;1614.81;16391.624;72648.767;67.960;2315.99;910.99;
16;95783.760;1614.20;16391.624;72764.216;57.006;2314.89;908.36;
17;96391.765;1605.37;16391.624;73407.215;39.753;2331.43;788.35;
18;97240.055;1633.77;16391.624;74316.671;22.823;2104.65;791.08;
19;96247.242;1618.90;30756.000;58981.022;51.664;2135.39;792.21;
20;94134.659;1564.02;30756.000;56886.947;77.850;2179.43;0.00;
21;91512.991;1470.44;30756.000;54410.777;106.597;2127.61;0.00;
22;87508.679;1298.45;30756.000;50482.100;223.044;1751.12;567.09;
23;84967.566;992.45;7046.353;71411.122;14.653;1219.42;557.32;
