◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
23,81755.663,1132.88,7046.353,68277.745,21.975,1360.03,618.52,
0,78828.108,970.43,7046.353,65341.796,75.899,1094.98,506.25,
1,77412.621,934.63,7046.353,63997.497,156.513,1089.64,476.79,
2,76797.0,908.57,7046.353,63424.753,194.976,1087.53,449.65,
3,77175.792,898.98,7046.353,63826.923,212.73,1095.59,440.01,
4,78518.743,985.56,7046.353,65171.087,199.083,1205.49,494.31,
5,80711.41,1109.4,7046.353,67324.75,173.502,1348.3,575.73,
6,83556.229,1406.14,19516.177,57717.233,201.323,1965.04,740.23,
7,87431.624,1572.17,19516.177,61386.464,122.319,2048.53,818.8,
8,90969.673,1685.03,16391.624,68159.841,218.519,2236.39,835.7,
9,93140.211,1719.73,16391.624,70244.589,128.032,2266.38,861.24,
10,93340.593,1730.98,16391.624,70407.666,113.802,2287.77,887.0,
11,92956.503,1709.02,16391.624,69998.429,111.128,2273.24,891.88,
12,92364.396,1695.07,16391.624,69425.806,134.204,2313.47,864.34,
13,92582.196,1705.72,16391.624,69657.024,138.654,2326.82,875.69,
14,92347.474,1724.77,16391.624,69464.517,155.85,2295.65,897.45,
15,92130.837,1725.24,16391.624,69245.456,148.8,2285.08,899.68,
16,91949.777,1712.74,16391.624,69042.724,131.325,2284.54,887.56,
17,92240.479,1709.47,16391.624,69361.074,136.351,2289.91,872.05,
18,93548.714,1719.77,16391.624,70670.096,51.627,2383.79,867.27,
19,93307.412,1711.46,30756.0,56096.533,85.589,2373.74,872.45,
20,91362.063,1691.03,30756.0,54169.679,110.638,2296.44,850.42,
21,88759.627,1593.74,30756.0,51799.1,179.095,2179.22,809.37,
22,84546.009,1399.34,30756.0,47754.149,393.458,1973.97,718.95,
23,81638.247,1147.66,7046.353,68163.653,28.127,1990.54,600.26,
0,79130.925,1004.68,7046.353,65719.732,77.465,1147.78,530.58,
1,77703.54,963.11,7046.353,64357.849,154.317,1093.02,495.57,
2,77127.126,929.3,7046.353,63824.709,196.535,1088.65,465.81,
3,77463.995,938.23,7046.353,64179.19,215.127,1111.25,469.53,
4,78811.218,998.09,7046.353,65528.18,200.151,1192.96,498.7,
5,81035.871,1201.58,7046.353,67717.032,169.34,1419.63,612.47,
6,83837.345,1414.14,19516.177,58084.766,215.969,2019.9,723.82,
7,87937.85,1543.15,19516.177,61921.971,132.494,2181.82,37.14,
