Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;79828.999;1094.69;7046.353;66618.618;41.664;1284.02;655.56;
1;78146.935;1016.88;7046.353;65015.300;135.679;1157.85;590.90;
2;77587.505;990.37;7046.353;64491.951;180.517;1131.48;556.47;
3;77473.521;982.34;7046.353;64398.365;199.494;1134.76;551.31;
4;78134.231;1010.17;7046.353;65051.807;182.663;1188.36;558.39;
5;79284.935;1071.86;7046.353;66169.659;156.620;1254.10;602.03;
6;80274.554;1217.54;19516.177;54755.819;198.122;1466.66;672.21;
7;83191.727;1414.62;19516.177;57578.996;95.851;1746.56;718.48;
8;86647.947;1561.74;16391.624;64288.152;233.178;2120.48;793.66;
9;88980.392;1675.99;16391.624;66518.199;136.104;2259.94;790.41;
10;89812.118;1733.15;16391.624;67298.621;102.653;2250.61;919.40;
11;89894.819;1727.08;16391.624;67352.508;122.393;2244.24;915.29;
12;89635.926;1725.08;16391.624;67089.040;127.409;2239.01;940.85;
13;89464.019;1716.32;16391.624;66917.429;136.031;2234.43;952.01;
14;89255.450;1773.62;16391.624;66698.206;143.698;2243.72;1004.57;
15;89253.530;1782.78;16391.624;66732.296;145.301;2259.80;1001.57;
16;89460.017;1791.94;16391.624;66996.433;128.070;2318.41;1015.83;
17;89899.497;1795.24;16391.624;67501.481;125.437;2367.01;1000.84;
18;90973.245;1795.54;16391.624;68539.593;31.647;2319.97;989.31;
19;91299.577;1800.82;30756.000;54523.649;39.268;2412.22;1021.19;
20;89496.556;1774.93;30756.000;52723.792;69.539;2341.80;1000.27;
21;86974.997;1606.25;30756.000;50283.754;162.437;2210.86;901.02;
22;83475.978;1350.15;30756.000;46938.141;377.413;1772.70;809.24;
23;81196.260;1161.14;7046.353;67956.916;14.976;1474.66;697.27;
