Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;81748.623;1052.03;7630.806;67898.935;11.979;2143.84;763.13;
1;80428.608;957.11;7630.806;66603.157;42.909;2114.70;675.83;
2;79907.137;919.62;7630.806;66112.218;63.997;2107.78;631.90;
3;80082.213;928.67;7630.806;66276.231;45.038;2117.03;632.91;
4;81022.447;924.88;7630.806;67224.551;49.282;1340.86;643.73;
5;82567.293;989.15;7630.806;68726.590;96.900;1327.26;687.96;
6;85598.617;1202.74;21076.149;58178.330;69.165;1725.07;848.74;
7;89580.342;1508.79;21076.149;61944.388;16.827;1902.88;1095.33;
8;92989.911;1717.36;17648.308;68782.499;44.666;2285.86;1256.71;
9;94179.174;1725.89;17648.308;69935.222;43.652;2301.14;1287.82;
10;93880.326;1704.14;17648.308;69607.936;54.516;2281.47;1257.15;
11;93255.610;1730.52;17648.308;68966.818;67.409;2228.69;1280.71;
12;92927.294;1706.17;17648.308;68622.627;72.355;2225.10;1265.27;
13;93260.018;1753.19;17648.308;69006.283;88.372;2235.66;1299.79;
14;92971.078;1740.64;17648.308;68696.786;89.635;2163.69;1196.43;
15;92413.464;1722.29;17648.308;68153.472;72.696;2204.03;1196.33;
16;92021.276;1688.02;17648.308;67784.009;59.820;2192.25;1196.27;
17;91672.424;1653.88;17648.308;67482.732;66.135;2172.09;1196.19;
18;92046.366;1603.77;17648.308;67860.007;24.691;2192.49;1181.67;
19;93179.986;1666.34;33360.489;53427.739;120.805;2286.76;1196.10;
20;93038.474;1671.49;33360.489;53322.416;124.934;2349.84;1196.09;
21;90829.770;1598.09;33360.489;51269.416;175.659;2353.40;1136.86;
22;86973.639;1328.06;33360.489;47594.028;384.562;2130.98;969.65;
23;84453.255;1077.97;7630.806;70430.536;12.674;1866.60;774.68;
