Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;82664.217;1078.61;7630.806;68844.265;14.381;2147.73;820.59;
1;80719.992;961.23;7630.806;66905.996;39.484;2110.73;689.92;
2;80036.590;921.78;7630.806;66241.491;54.277;1368.25;652.22;
3;79874.533;922.15;7630.806;66085.234;52.354;2114.50;643.15;
4;79858.935;903.48;7630.806;66075.127;56.129;1351.71;632.90;
5;80222.353;903.20;7630.806;66481.247;116.415;1303.91;626.65;
6;80978.079;907.74;21076.149;53792.581;111.861;1306.42;628.49;
7;82747.984;964.73;21076.149;55455.063;75.778;1495.20;656.91;
8;84743.954;998.59;17648.308;60972.703;216.826;1986.75;0.00;
9;86556.850;1202.30;17648.308;62662.432;126.964;1976.08;375.77;
10;87302.243;1268.91;17648.308;63349.877;89.361;1560.14;722.37;
11;87287.260;1278.15;17648.308;63297.408;85.143;1649.89;826.14;
12;86998.819;1268.76;17648.308;63009.780;93.821;1603.58;849.16;
13;86776.946;1257.37;17648.308;62791.124;90.569;1632.07;728.27;
14;86640.512;1279.86;17648.308;62687.916;106.143;1636.88;886.01;
15;86499.591;1281.17;17648.308;62590.641;108.032;1610.35;934.33;
16;86938.173;1239.18;17648.308;63061.371;81.910;1510.76;908.39;
17;87341.908;1254.02;17648.308;63516.090;70.696;1559.89;796.53;
18;88095.650;1333.12;17648.308;64305.015;44.321;1611.65;780.84;
19;89658.549;1422.57;33360.489;50304.011;118.027;1776.02;783.41;
20;90446.800;1550.09;33360.489;51144.272;126.907;2165.78;1074.18;
21;88809.189;1524.73;33360.489;49531.340;165.002;2085.70;1022.04;
22;85630.761;1219.09;33360.489;46503.060;394.456;2146.52;867.30;
23;83211.785;1046.80;7630.806;69395.963;9.125;2121.34;756.33;
