Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;97291.710;1242.45;10323.026;80184.451;74.881;1826.23;858.13;
1;95655.818;1193.93;10323.026;78643.407;188.012;1736.92;799.48;
2;94737.908;1153.64;10323.026;77796.771;260.073;1697.94;761.42;
3;94295.514;1139.53;10323.026;77383.533;299.354;1656.93;758.00;
4;94952.682;1164.30;10323.026;78063.165;312.365;1699.85;761.73;
5;95978.249;1193.02;10323.026;79061.200;286.290;1712.52;782.90;
6;97292.951;1263.09;26280.117;64386.962;224.947;1843.47;823.15;
7;99473.984;1556.86;26280.117;66568.333;162.032;2445.06;1021.62;
8;102521.730;1701.25;22069.026;74096.408;353.308;2748.09;1090.15;
9;105070.815;1757.36;22069.026;76544.176;225.506;2778.61;1156.39;
10;106510.650;1782.92;22069.026;77904.113;154.978;2761.20;1205.64;
11;106814.736;1788.40;22069.026;78142.733;122.698;2795.74;1234.47;
12;106517.132;1774.35;22069.026;77802.214;125.698;2762.50;1209.47;
13;106404.699;1777.17;22069.026;77701.280;125.387;2777.35;1217.25;
14;106295.757;1760.38;22069.026;77614.713;121.465;2764.76;1188.89;
15;106534.088;1768.36;22069.026;77901.710;126.774;2673.27;1182.54;
16;107647.266;1777.31;22069.026;79030.323;88.486;2601.53;1199.98;
17;108894.075;1793.47;22069.026;80249.380;26.505;2681.63;1208.39;
18;108517.795;1792.80;41336.001;60705.832;156.708;2681.20;1221.59;
19;107306.014;1771.57;41336.001;59526.823;203.992;2627.07;1194.52;
20;105528.952;1760.61;41336.001;57825.299;268.686;2638.67;1187.18;
21;103386.821;1676.94;41336.001;55784.666;389.681;2721.74;1129.31;
22;100355.559;1541.57;10323.026;83383.089;18.241;2629.71;1039.90;
23;98035.467;1215.17;10323.026;80966.620;19.424;1904.17;829.73;
