Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;72317.255;902.55;5944.921;60863.027;29.840;1031.07;576.68;
1;70220.143;818.68;5944.921;58761.197;39.354;1029.61;506.40;
2;69007.616;809.69;5944.921;57557.217;60.317;1030.33;488.70;
3;68404.275;798.38;5944.921;56958.082;67.265;1032.07;476.20;
4;68930.143;712.82;5944.921;57513.721;97.381;1039.49;0.00;
5;71285.373;730.77;5944.921;59897.337;101.699;1035.63;0.00;
6;75292.176;936.87;18657.240;51120.924;103.921;1136.96;576.14;
7;79056.146;1169.73;18657.240;54669.942;58.251;1368.36;784.37;
8;83485.729;1430.50;15855.839;62029.822;191.723;1809.44;967.78;
9;86226.428;1571.83;15855.839;64680.559;108.738;2145.92;449.04;
10;86960.187;1592.16;15855.839;65358.675;78.796;2052.20;1116.10;
11;86998.757;1585.48;15855.839;65348.270;71.532;2084.40;1111.11;
12;86878.647;1589.89;15855.839;65225.673;76.907;2094.77;1111.57;
13;87071.844;1614.31;15855.839;65449.759;77.957;2106.16;1089.92;
14;86785.474;1686.80;15855.839;65189.608;79.314;2220.46;1037.17;
15;86231.284;1649.15;15855.839;64683.489;84.145;2253.32;971.70;
16;85645.423;1606.12;15855.839;64095.110;61.488;2110.16;1018.55;
17;84733.949;1550.29;15855.839;63226.631;63.680;2103.80;1024.82;
18;83974.975;1513.05;15855.839;62519.900;90.980;2099.40;1015.05;
19;83098.541;1435.97;15855.839;61639.345;89.976;2052.65;980.42;
20;82580.972;1388.96;29719.647;47248.500;87.296;2072.62;895.14;
21;82003.737;1396.53;29719.647;46826.566;89.374;2054.03;790.10;
22;78987.333;1218.10;29719.647;44008.490;245.469;2021.58;749.42;
23;75020.299;974.83;29719.647;40232.279;487.426;1140.80;691.77;
