Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;72879.102;952.15;5944.921;61255.604;16.495;1485.47;506.71;
1;70882.808;894.01;5944.921;59233.356;21.876;1485.06;456.63;
2;69965.795;842.53;5944.921;58339.852;45.386;1484.87;411.13;
3;69462.566;694.67;5944.921;57859.801;51.467;1484.39;319.34;
4;69775.832;717.38;5944.921;58200.973;67.551;1487.58;0.00;
5;71909.409;763.03;5944.921;60334.183;66.616;1887.86;0.00;
6;75830.713;952.64;18657.240;51527.709;54.200;1544.78;483.41;
7;79617.448;1161.89;18657.240;55120.451;31.262;1781.22;601.25;
8;83599.648;1373.84;15855.839;62043.009;138.046;1779.60;747.06;
9;85998.403;1523.30;15855.839;64379.341;61.351;2253.44;0.00;
10;86569.924;1573.06;15855.839;64889.123;27.379;2189.35;0.00;
11;86383.328;1573.55;15855.839;64679.515;23.517;2188.84;0.00;
12;85980.569;1552.62;15855.839;64287.510;31.929;2154.86;843.27;
13;86309.595;1566.20;15855.839;64630.332;35.961;2186.89;855.10;
14;86028.345;1628.23;15855.839;64382.861;39.102;2149.30;922.61;
15;85435.219;1612.60;15855.839;63828.754;39.711;2131.65;920.15;
16;84938.093;1577.94;15855.839;63381.513;34.762;2074.30;859.51;
17;84011.566;1499.04;15855.839;62520.400;39.848;2050.14;0.00;
18;83199.001;1440.83;15855.839;61693.999;39.625;1798.08;0.00;
19;82841.494;1433.27;15855.839;61326.597;45.147;1758.15;780.12;
20;82782.097;1415.84;29719.647;47406.146;38.374;1775.33;771.54;
21;82212.940;1449.02;29719.647;47043.380;51.085;2049.00;795.66;
22;78840.723;1243.81;29719.647;43779.402;187.894;1530.35;691.85;
23;74989.242;1022.97;29719.647;40112.231;442.699;1494.21;558.98;
