◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
23,96302.23,1106.38,9513.27,79767.716,3.453,2118.14,753.56,
0,94743.347,1033.01,9513.27,78174.092,7.952,1646.32,729.46,
1,93267.419,957.21,9513.27,76738.708,61.906,1355.3,671.02,
2,92171.709,897.61,9513.27,75690.571,107.88,1209.2,606.78,
3,92004.82,872.9,9513.27,75544.939,128.887,1149.44,579.24,
4,92419.303,892.85,9513.27,75957.649,128.189,1177.61,595.32,
5,93579.993,931.07,9513.27,77079.98,94.207,1231.95,632.52,
6,94922.899,968.58,24438.562,63449.576,55.156,1331.65,673.19,
7,97399.149,1092.71,24438.562,65926.798,37.287,1611.06,763.36,
8,100061.834,1274.32,20490.544,72699.728,166.729,1795.38,895.23,
9,102323.98,1425.34,20490.544,74885.44,45.25,2155.66,989.35,
10,104148.778,1465.55,20490.544,76710.291,27.151,2225.07,1019.08,
11,104847.75,1489.83,20490.544,77402.04,29.836,2226.32,1021.57,
12,104792.145,1489.81,20490.544,77339.408,40.01,2219.18,1022.48,
13,104940.198,1494.63,20490.544,77502.797,45.741,2218.02,1028.81,
14,105147.227,1495.27,20490.544,77730.604,41.325,2188.04,1035.97,
15,105908.528,1487.62,20490.544,78496.58,34.787,2151.6,1033.89,
16,107538.752,1503.17,20490.544,80157.733,21.337,2140.63,1043.53,
17,108484.562,1515.81,20490.544,81122.752,8.097,2200.98,1037.42,
18,108026.267,1517.42,38533.626,62698.446,78.461,2238.47,1033.62,
19,107006.324,1505.92,38533.626,61714.409,114.28,2207.74,1025.28,
20,105483.418,1487.7,38533.626,60213.974,146.799,2142.75,1006.18,
21,103422.081,1431.0,38533.626,58156.176,180.213,2153.53,982.9,
22,100461.289,1269.02,9513.27,84007.906,6.135,2193.62,871.71,
23,97468.622,1117.69,9513.27,80942.968,7.475,2169.97,765.87,
0,95708.122,1075.08,9513.27,79140.812,23.424,1702.13,784.78,
1,94112.377,1030.68,9513.27,77606.448,97.742,1588.11,738.07,
2,93099.556,976.81,9513.27,76613.643,136.335,1412.79,692.88,
3,92828.936,960.12,9513.27,76348.58,160.881,1360.48,672.76,
4,93240.301,980.12,9513.27,76759.045,160.802,1407.7,690.76,
5,94348.249,1026.85,9513.27,77835.269,128.056,1462.5,721.98,
6,95718.978,1067.19,24438.562,64249.412,85.196,1670.87,727.35,
7,98112.959,1139.22,24438.562,66631.017,47.795,1827.46,773.28,
8,100701.356,1398.97,20490.544,73371.952,195.443,2149.7,959.59,
9,103149.505,1460.64,20490.544,75757.42,91.347,2240.39,1011.62,
10,104893.363,1536.05,20490.544,77497.286,62.175,2287.93,1033.68,
11,105503.088,1563.91,20490.544,78096.368,71.102,2300.8,1039.55,
12,105433.834,1564.79,20490.544,78039.396,79.199,2269.82,1038.16,
13,105625.924,1571.68,20490.544,78248.018,88.568,2245.69,1047.35,
14,105691.038,1565.38,20490.544,78326.493,84.634,2243.29,1042.2,
15,106452.532,1556.23,20490.544,79086.868,71.723,2203.36,1041.88,
16,108238.175,1594.09,20490.544,80874.715,44.121,2287.32,1134.53,
17,109047.763,1602.15,20490.544,81701.489,24.065,2299.7,1152.43,
18,108345.05,1595.53,38533.626,63026.191,90.331,2355.53,1139.53,
19,107285.4,1579.75,38533.626,61979.05,119.681,2328.5,1127.69,
20,105492.207,1531.75,38533.626,60211.823,158.581,2251.53,1058.72,
21,103439.923,1439.39,38533.626,58152.984,188.168,2218.95,994.99,
22,100454.08,1264.02,9513.27,83977.381,14.653,2208.06,870.84,
23,97139.169,1083.12,9513.27,80595.461,14.306,1847.57,770.24,
0,95194.994,1060.97,9513.27,78658.088,26.42,1645.38,761.66,
1,93493.439,1021.35,9513.27,76994.045,76.681,1467.12,721.81,
2,92721.892,966.67,9513.27,76249.021,123.328,1354.68,671.81,
3,92432.935,960.89,9513.27,75973.509,147.96,1324.98,663.83,
4,92836.347,985.06,9513.27,76374.261,147.907,1381.63,677.1,
5,94043.261,1031.58,9513.27,77580.496,128.438,1469.78,710.6,
6,95394.961,1050.43,24438.562,63957.231,84.183,1471.07,719.89,
7,97919.682,1122.94,24438.562,66457.213,38.871,1643.17,763.45,
8,100460.297,1420.5,20490.544,73128.557,172.999,2142.68,968.48,
9,102610.685,1473.24,20490.544,75239.684,105.686,2254.46,1016.4,
10,104264.369,1564.21,20490.544,76891.816,81.995,2295.32,1102.25,
11,104802.573,1597.05,20490.544,77419.069,90.937,2330.36,1132.41,
