Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;73100.248;1250.19;5834.547;62059.219;68.624;1470.00;759.52;
1;71060.594;1113.87;5834.547;60011.653;73.899;1470.00;679.27;
2;69727.344;1015.68;5834.547;58660.119;79.508;1470.00;615.51;
3;68805.112;962.60;5834.547;57744.951;81.105;1470.00;572.41;
4;68715.128;952.18;5834.547;57669.706;89.639;1470.00;567.88;
5;69503.524;954.24;5834.547;58481.630;104.530;1470.00;569.76;
6;71553.561;1142.87;17972.645;48378.050;101.965;1470.00;672.36;
7;73899.977;1231.12;17972.645;50693.737;83.093;1490.00;695.98;
8;77680.179;1476.20;15413.354;57244.408;305.658;1699.57;827.35;
9;80957.488;1746.89;15413.354;60327.496;119.590;2147.33;862.17;
10;82792.419;1782.17;15413.354;62123.510;79.523;2253.44;919.13;
11;83479.181;1794.28;15413.354;62794.027;75.514;2266.89;938.11;
12;83742.705;1809.53;15413.354;63074.837;75.156;2329.63;932.19;
13;84048.291;1816.13;15413.354;63440.783;70.784;2340.25;944.28;
14;84162.109;1826.06;15413.354;63525.286;68.915;2343.32;951.70;
15;83943.906;1822.43;15413.354;63307.407;66.646;2340.94;950.71;
16;83938.464;1830.88;15413.354;63307.523;68.128;2325.52;930.66;
17;83737.093;1834.92;15413.354;63217.353;73.358;2318.71;924.00;
18;83221.537;1796.41;15413.354;62700.478;86.080;2272.69;853.58;
19;82848.626;1788.19;15413.354;62312.948;85.571;2264.61;889.32;
20;83157.116;1785.94;28670.424;49377.634;88.240;2298.38;880.93;
21;82373.642;1765.45;28670.424;48670.580;118.468;2273.26;878.33;
22;79146.089;1659.10;28670.424;45603.738;205.068;2210.60;896.65;
23;75242.270;1383.41;28670.424;41858.139;396.856;1675.67;757.11;
