Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75882.957;1120.92;5799.155;64380.081;2.980;1296.10;714.64;
1;74106.701;980.03;5799.155;62596.020;3.216;1126.17;618.28;
2;73143.919;940.49;5799.155;61632.285;3.018;1112.31;578.23;
3;72656.673;910.55;5799.155;61132.173;4.703;1098.95;544.87;
4;73090.601;908.43;5799.155;61586.936;5.929;1125.01;539.41;
5;74253.622;978.73;5799.155;62736.221;9.674;1404.03;0.00;
6;77827.269;1290.00;17994.069;54073.852;10.386;1938.73;0.00;
7;81758.066;1389.80;17994.069;57858.142;11.352;1907.17;0.00;
8;87064.188;1708.08;15396.961;65880.544;89.652;2115.33;691.89;
9;90372.649;1876.24;15396.961;69136.393;14.030;2464.72;987.29;
10;91887.162;1908.33;15396.961;70621.324;9.178;2555.70;852.65;
11;92301.725;1913.33;15396.961;71045.531;10.061;2870.47;802.70;
12;92510.601;1918.27;15396.961;71264.031;18.192;2865.41;848.28;
13;93298.717;1937.40;15396.961;72032.885;23.297;2874.83;854.14;
14;93242.546;1973.42;15396.961;71974.770;21.612;2952.64;943.06;
15;92556.406;1931.89;15396.961;71310.257;20.173;2794.80;883.56;
16;91813.794;1932.44;15396.961;70610.190;16.315;2938.05;1003.71;
17;90579.716;1923.19;15396.961;69428.921;10.934;2943.80;883.15;
18;89406.442;1895.04;15396.961;68261.005;9.770;2390.58;1040.90;
19;89234.587;1887.94;15396.961;68128.978;16.060;2389.20;1041.38;
20;88882.930;1877.89;28707.300;54526.639;45.275;2527.88;1031.61;
21;86600.079;1841.54;28707.300;52624.556;72.049;2383.15;1055.78;
22;82313.028;1606.31;28707.300;48367.327;125.411;2118.67;825.02;
23;78241.046;1355.19;28707.300;44384.634;265.666;1580.75;780.95;
