Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75152.571;1226.26;6340.406;62818.287;5.423;1630.00;933.08;
1;73155.435;1124.61;6340.406;60848.200;51.356;1630.00;857.61;
2;71741.266;978.65;6340.406;59449.757;91.646;1630.00;722.99;
3;71092.546;922.65;6340.406;58813.503;115.342;1630.00;658.23;
4;71266.171;920.21;6340.406;59109.788;231.853;1630.01;644.00;
5;72794.927;1079.19;6340.406;60573.147;160.046;1630.01;776.99;
6;76224.199;1280.54;19302.818;51060.923;145.036;1860.65;923.22;
7;80885.745;1474.14;19302.818;55505.453;54.624;1837.88;1053.47;
8;85805.893;1695.00;16577.379;63454.916;330.550;2064.26;1140.00;
9;88955.078;1915.39;16577.379;66485.304;158.088;2405.39;1140.00;
10;89841.716;1944.41;16577.379;67300.573;90.529;2445.81;1140.00;
11;90062.257;1952.83;16577.379;67477.827;60.010;2442.34;1140.00;
12;89920.195;1951.66;16577.379;67327.659;55.759;2454.49;1140.00;
13;90294.537;1946.72;16577.379;67720.437;54.610;2469.24;1086.83;
14;90769.404;1994.01;16577.379;68220.662;52.914;2493.57;1140.00;
15;90208.275;1991.50;16577.379;67658.546;49.897;2418.61;1140.00;
16;89640.110;1997.28;16577.379;67076.663;57.684;2403.85;1140.00;
17;88619.989;1976.02;16577.379;66097.084;65.788;2403.89;1140.00;
18;87966.532;1946.01;16577.379;65537.675;115.190;2406.07;1140.00;
19;87224.798;1913.91;16577.379;64804.014;125.889;2397.67;1140.00;
20;86887.735;1890.64;30759.230;50241.498;64.291;2440.93;1140.00;
21;85984.878;1865.60;30759.230;49527.628;107.037;2476.00;1140.00;
22;82189.324;1603.98;30759.230;45908.245;318.224;2077.02;1019.83;
23;78834.305;1447.29;30759.230;42789.680;623.241;2064.08;953.27;
