◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
23,77658.129,1356.61,30759.23,41847.332,638.877,1684.37,1051.53,
0,74363.106,1098.65,6340.406,62285.124,12.297,1630.0,837.25,
1,72478.604,963.63,6340.406,60466.399,106.358,1630.0,618.07,
2,71019.01,861.88,6340.406,59048.823,155.842,1630.0,473.83,
3,70230.435,841.7,6340.406,58311.833,202.255,1630.0,525.33,
4,70459.476,803.21,6340.406,58631.322,264.677,1674.09,297.42,
5,72278.854,889.37,6340.406,60435.556,255.788,1674.53,441.94,
6,75678.413,1296.48,19302.818,50750.423,176.864,2055.42,918.9,
7,80528.331,1479.01,19302.818,55388.063,71.079,1887.68,1048.11,
8,85353.31,1702.84,16577.379,63279.897,409.972,2157.52,1174.19,
9,88484.388,1929.15,16577.379,66243.003,235.732,2315.23,1395.15,
10,89488.048,1982.39,16577.379,67164.727,155.231,2474.62,1445.84,
11,89711.651,1984.17,16577.379,67339.692,119.777,2437.33,1447.45,
12,89568.089,1954.65,16577.379,67201.95,106.535,2458.79,1367.29,
13,90052.107,1972.12,16577.379,67708.328,92.203,2525.41,1370.92,
14,89860.052,1997.54,16577.379,67547.015,93.959,2514.92,1393.39,
15,89271.966,1994.03,16577.379,66973.928,103.333,2557.63,1356.69,
16,88632.191,1970.43,16577.379,66353.292,106.963,2549.51,1292.48,
17,87728.046,1951.16,16577.379,65501.413,100.514,2512.11,1273.02,
18,86744.699,1910.17,16577.379,64589.932,143.678,2476.76,1255.1,
19,85890.652,1820.84,16577.379,63733.854,143.562,2356.77,1224.63,
20,85723.284,1779.24,30759.23,49329.535,89.284,2280.12,1191.39,
21,85098.861,1769.34,30759.23,48819.053,103.065,2305.38,1215.55,
22,81589.676,1523.98,30759.23,45462.775,272.091,2129.3,1054.13,
23,78319.003,1324.61,30759.23,42465.173,605.183,2093.81,996.87,
0,74994.844,1046.88,6340.406,62999.699,12.01,2024.9,707.48,
1,72812.376,894.12,6340.406,60853.493,72.413,1630.0,582.04,
2,71579.932,839.15,6340.406,59677.257,127.88,1630.0,513.35,
3,70708.379,814.71,6340.406,58859.967,172.251,1630.0,488.76,
4,71138.819,745.98,6340.406,59377.109,238.291,1710.19,0.0,
5,72995.369,844.69,6340.406,61246.684,248.245,1702.31,338.56,
6,76402.568,1033.19,19302.818,51548.912,166.901,2084.93,0.0,
7,81263.636,1437.8,19302.818,56185.628,51.254,2135.92,967.87,
8,86444.919,1641.21,16577.379,64456.321,400.921,2167.64,1104.04,
9,89718.104,1894.3,16577.379,67558.896,218.816,2388.66,1324.76,
10,90807.566,1952.97,16577.379,68566.512,143.351,2495.08,1384.4,
11,91293.649,1975.24,16577.379,69002.091,108.581,2531.92,1416.14,
12,91319.15,1958.16,16577.379,69026.925,89.11,2527.57,1416.87,
13,91776.75,1972.99,16577.379,69513.888,82.987,2527.4,1413.12,
14,91637.258,1997.89,16577.379,69391.553,84.461,2559.53,1418.2,
15,91013.04,1992.14,16577.379,68791.019,93.429,2556.1,1389.87,
16,90277.666,1971.56,16577.379,68080.97,100.192,2539.79,1328.64,
17,89253.008,1953.8,16577.379,67118.35,95.178,2537.92,1297.2,
18,88104.847,1904.13,16577.379,66035.776,130.477,2525.94,1253.81,
19,87195.178,1844.76,16577.379,65134.986,155.132,2452.25,1229.83,
20,86783.065,1775.08,30759.23,50471.58,94.037,2369.76,1142.03,
21,86400.084,1741.91,30759.23,50205.159,109.263,2387.45,1139.18,
22,82948.593,1497.56,30759.23,46874.358,248.32,2135.22,990.18,
23,79382.002,1283.24,30759.23,43531.274,523.514,2097.35,868.49,
0,75692.627,1048.99,6340.406,63728.74,14.558,2027.66,751.38,
1,73581.69,898.24,6340.406,61650.824,66.021,1081.07,586.39,
2,72256.176,821.4,6340.406,60398.94,126.379,1062.5,510.12,
3,71485.506,779.66,6340.406,59687.198,184.427,1040.38,475.64,
4,71578.193,668.82,6340.406,59854.122,242.907,1721.92,0.0,
5,73480.26,788.33,6340.406,61753.335,236.953,1721.59,232.43,
6,77080.64,977.23,19302.818,52254.672,164.695,2073.29,529.27,
7,82120.75,1422.97,19302.818,57071.711,48.668,2132.13,1033.05,
8,87388.344,1605.08,16577.379,65470.423,381.637,2153.11,1152.98,
9,90911.142,1855.99,16577.379,68866.045,205.092,2491.94,1389.25,
10,92085.443,1874.92,16577.379,69963.682,122.032,2507.72,1403.73,
11,92218.776,1866.52,16577.379,70036.142,85.872,2500.72,1388.99,
12,92348.078,1850.6,16577.379,70169.51,78.92,2496.81,1309.33,
13,92831.078,1878.15,16577.379,70682.562,76.693,2499.17,1340.38,
14,92738.785,1886.54,16577.379,70606.389,72.815,2589.16,1342.68,
15,92564.754,1895.75,16577.379,70442.812,71.754,2585.67,1395.77,
16,91863.995,1894.4,16577.379,69763.899,76.373,2579.34,1166.03,
17,90650.191,1878.63,16577.379,68571.192,63.579,2511.2,1347.94,
18,89357.276,1852.34,16577.379,67311.842,103.388,2525.87,1350.36,
19,88320.451,1789.1,16577.379,66275.945,119.897,2448.96,1300.84,
20,88019.277,1758.57,30759.23,51757.096,81.817,2456.29,1256.49,
21,87458.822,1735.7,30759.23,51296.682,84.603,2579.08,1151.15,
22,83786.267,1530.38,30759.23,47684.852,185.649,2134.1,742.66,
23,80231.965,1287.99,30759.23,44399.366,509.539,2090.28,920.4,
0,76606.82,1038.46,6340.406,64663.852,25.044,2027.11,722.28,
1,74684.243,806.25,6340.406,62768.12,76.817,1630.0,0.0,
2,73274.15,764.5,6340.406,61407.96,129.806,1630.0,0.0,
3,72433.894,747.42,6340.406,60615.344,183.674,1630.0,0.0,
4,72600.699,752.23,6340.406,60859.622,251.536,1630.0,0.0,
5,74792.712,821.62,6340.406,63045.928,246.642,1630.01,0.0,
6,77901.081,999.47,19302.818,53078.021,171.83,2088.34,0.0,
7,83060.846,1457.65,19302.818,58036.118,52.568,2132.68,1030.67,
8,88599.934,1700.74,16577.379,66695.251,373.269,2214.9,1214.66,
9,92090.188,1929.52,16577.379,70040.16,203.565,2607.91,1356.68,
10,93302.312,1948.97,16577.379,71168.058,123.159,2664.6,1352.37,
11,93785.39,1957.47,16577.379,71606.988,85.694,2727.36,1357.88,
12,93827.075,1936.43,16577.379,71647.242,73.516,2734.31,1354.53,
13,94210.366,1958.78,16577.379,72053.869,78.221,2746.08,1349.29,
14,94085.559,1963.54,16577.379,71946.741,72.776,2766.47,1349.72,
15,93316.676,1960.38,16577.379,71188.064,77.026,2727.0,1277.9,
16,92558.877,1953.13,16577.379,70441.274,85.448,2709.9,1224.21,
17,91289.849,1956.31,16577.379,69185.107,70.811,2754.48,1210.13,
18,89953.691,1934.22,16577.379,67897.893,92.571,2736.01,1230.68,
19,88936.357,1909.31,16577.379,66877.122,110.015,2666.33,1235.15,
20,88585.174,1860.51,30759.23,52308.993,76.94,2604.86,910.47,
21,88123.17,1881.91,30759.23,52130.972,81.919,2617.76,621.12,
22,84570.252,1756.24,30759.23,48759.846,198.597,2497.77,1214.56,
23,80986.558,1490.64,30759.23,45386.041,491.937,2064.3,1064.56,
0,77245.022,1359.89,6340.406,65465.95,29.662,1994.18,1044.33,
1,75124.787,1229.82,6340.406,63348.994,67.87,1483.07,924.74,
2,73815.681,1101.63,6340.406,62061.808,105.822,1325.14,806.46,
3,72723.029,1021.64,6340.406,60987.866,138.434,1211.89,725.54,
4,72333.892,844.34,6340.406,60665.342,207.579,1630.0,0.0,
5,73154.073,1071.3,6340.406,61503.828,213.544,1630.01,757.1,
6,74878.493,1052.76,19302.818,50249.257,164.196,1630.01,0.0,
7,78629.387,1385.16,19302.818,53905.178,39.446,2050.41,919.97,
8,83243.483,1548.12,16577.379,61581.825,348.589,1943.66,1022.55,
9,86791.884,1884.73,16577.379,64955.718,138.707,2511.94,1283.54,
10,88374.242,1976.47,16577.379,66459.216,63.913,2577.94,1421.21,
11,88897.324,1994.32,16577.379,66987.964,52.597,2682.13,1448.02,
12,89030.702,1998.37,16577.379,67116.332,44.115,2709.14,1398.95,
13,89032.811,2044.3,16577.379,67112.764,40.244,3006.64,1184.45,
14,88782.718,2042.07,16577.379,66857.7,42.06,2994.98,1169.89,
15,88317.258,2038.12,16577.379,66396.576,46.913,2993.68,1185.16,
16,87921.993,2026.16,16577.379,66020.725,50.959,2993.16,1172.35,
17,87268.565,1968.91,16577.379,65408.319,74.489,3017.61,1098.78,
18,86366.379,1961.79,16577.379,64539.279,86.816,3353.44,1026.42,
19,85627.484,1912.95,16577.379,63813.076,96.423,2691.35,1272.89,
20,85682.219,1882.99,30759.23,49655.26,51.787,2684.77,1257.41,
21,85091.205,1858.74,30759.23,49089.239,72.721,2699.36,1242.46,
22,81953.945,1820.61,30759.23,46062.719,195.172,2568.0,1249.35,
23,79047.594,1554.75,30759.23,43372.31,466.06,2000.85,1106.45,
0,75481.973,1450.83,6340.406,63640.067,19.062,1700.0,1082.97,
1,73405.922,1324.29,6340.406,61550.768,48.417,1630.0,989.7,
2,72017.075,1192.87,6340.406,60174.233,81.491,1771.67,817.45,
3,71133.609,1112.09,6340.406,59331.883,122.404,1630.0,797.89,
4,70611.795,1015.25,6340.406,58872.857,187.723,1630.01,0.0,
5,71016.783,1042.39,6340.406,59302.115,199.554,1728.94,0.0,
6,72456.949,1210.36,19302.818,47782.116,149.021,1750.22,0.0,
7,76047.813,1457.66,19302.818,51301.843,53.352,1959.06,936.44,
8,80186.016,1606.75,16577.379,58546.537,355.531,2071.86,1003.79,
9,83537.629,1863.56,16577.379,61714.116,158.543,2412.75,1224.97,
10,85258.674,1980.16,16577.379,63353.851,87.647,2561.06,1351.13,
11,85893.076,2015.92,16577.379,63976.212,68.129,2640.29,1372.12,
12,86031.369,2007.59,16577.379,64118.449,71.028,2625.51,1370.22,
13,86155.543,2026.0,16577.379,64238.539,69.506,2649.96,1398.84,
14,86087.576,2019.06,16577.379,64174.226,64.791,2544.97,1397.75,
15,85935.583,2025.05,16577.379,64037.241,66.047,2549.76,1378.95,
16,85770.13,1995.25,16577.379,63881.856,66.407,2489.14,1359.34,
17,85566.478,1947.72,16577.379,63694.657,72.762,2474.93,1313.13,
18,85124.867,1917.29,16577.379,63268.169,86.952,2479.58,1294.04,
19,84853.584,1897.43,16577.379,63007.39,97.83,2480.8,1297.52,
20,84881.06,1860.77,30759.23,48828.955,49.97,2483.61,1280.32,
21,84228.267,1860.41,30759.23,48209.458,85.845,2520.31,1289.13,
22,80954.331,1778.41,30759.23,45002.804,225.978,2424.29,1191.46,
23,77896.066,1523.1,30759.23,42192.32,558.433,1927.72,1054.73,
0,74862.099,1312.78,6340.406,63098.25,132.696,1577.99,916.77,
1,73046.066,1136.62,6340.406,61289.428,158.22,1351.25,772.85,
2,72020.311,998.34,6340.406,60321.593,211.508,1176.56,664.86,
3,71299.149,928.82,6340.406,59650.156,259.445,1162.6,599.01,
4,71494.101,847.83,6340.406,59906.267,326.455,1126.86,525.62,
5,73218.85,1037.12,6340.406,61496.285,328.972,1264.23,676.9,
6,76517.311,1140.59,19302.818,51715.68,260.105,1635.84,0.0,
7,81553.298,1455.99,19302.818,56494.262,161.109,1774.15,971.0,
8,86592.055,1610.11,16577.379,64572.21,461.597,1940.2,875.0,
9,89760.892,1781.91,16577.379,67575.689,284.44,2114.42,875.0,
10,90774.643,1910.82,16577.379,68507.398,209.826,2477.92,875.0,
11,90835.397,1919.23,16577.379,68506.68,171.883,2539.15,875.0,
12,90700.566,1913.45,16577.379,68390.783,178.223,2528.99,875.0,
13,91140.41,1935.56,16577.379,68864.933,179.658,2566.53,875.0,
14,90904.701,1941.08,16577.379,68632.319,170.518,2570.33,875.0,
15,90565.29,1886.58,16577.379,68321.846,170.44,2292.32,875.0,
16,89899.031,1866.42,16577.379,67672.91,168.725,2274.23,875.0,
17,88862.748,1888.84,16577.379,66666.836,152.407,2563.78,1336.65,
18,87951.159,1755.15,16577.379,65775.847,186.665,2385.32,1252.96,
19,87061.852,1700.96,16577.379,64886.575,210.823,2140.28,1124.39,
