Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;95197.096;1224.58;10783.073;77292.746;81.105;1836.30;759.05;
1;93480.214;1184.13;10783.073;75673.570;203.651;1741.40;722.54;
2;92895.182;1143.24;10783.073;75154.864;259.450;1683.12;686.18;
3;93063.079;1148.67;10783.073;75350.728;294.253;1719.36;684.24;
4;94367.768;1226.52;10783.073;76644.694;295.158;1826.82;741.20;
5;96858.592;1404.29;10783.073;79031.014;259.982;2170.14;836.29;
6;100309.236;1595.99;27662.719;65501.609;200.813;2399.38;955.96;
7;104291.057;1768.22;27662.719;69292.471;117.579;2661.98;1090.49;
8;107963.257;1815.12;23131.862;77766.350;299.607;2738.58;1120.84;
9;110055.266;1834.93;23131.862;79779.526;234.093;2742.28;1181.12;
10;110176.529;1833.77;23131.862;79890.076;248.799;2735.58;1211.04;
11;109355.723;1841.25;23131.862;79054.414;275.515;2703.48;1230.50;
12;108525.164;1823.99;23131.862;78221.945;287.701;2696.75;1218.74;
13;108516.238;1826.64;23131.862;78203.531;265.041;2694.38;1238.46;
14;108125.303;1820.27;23131.862;77790.933;260.294;2708.20;1237.86;
15;107770.670;1819.22;23131.862;77383.682;215.564;2748.26;1236.03;
16;107641.128;1802.55;23131.862;77235.562;191.550;2690.18;1191.56;
17;108169.754;1805.60;23131.862;77783.968;138.438;2700.65;1180.50;
18;109331.744;1822.96;43537.924;58684.975;252.323;2709.65;1223.25;
19;108560.706;1818.83;43537.924;57983.152;314.664;2713.32;1236.89;
20;106699.129;1794.78;43537.924;56189.195;429.845;2690.05;1211.68;
21;104179.532;1717.13;43537.924;53961.117;611.459;2610.17;1027.22;
22;100506.260;1581.39;10783.073;82464.609;38.228;2627.60;1018.99;
23;98007.906;1485.53;10783.073;79922.477;59.854;2577.15;1006.57;
