Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;76286.338;1079.38;6817.301;63646.822;25.920;1264.63;769.15;
1;74503.230;989.20;6817.301;61829.954;29.883;1124.74;708.62;
2;73826.978;920.55;6817.301;61159.187;43.270;1030.55;649.09;
3;73761.345;921.08;6817.301;61132.486;44.437;1031.67;652.93;
4;74269.699;931.27;6817.301;61760.418;69.138;1068.11;640.19;
5;76440.895;1039.59;6817.301;63969.845;70.194;1237.82;0.00;
6;80415.083;1172.67;19087.336;55619.961;25.652;1560.62;0.00;
7;83903.127;1370.92;19087.336;58939.183;33.068;1629.69;0.00;
8;87571.740;1575.39;16043.297;65655.604;31.255;1970.74;0.00;
9;89509.430;1688.77;16043.297;67581.333;38.952;2045.63;1197.59;
10;89572.488;1725.94;16043.297;67622.087;40.737;2124.25;1226.74;
11;89106.445;1712.09;16043.297;67144.708;42.440;2128.44;1213.94;
12;88367.492;1631.48;16043.297;66394.638;40.782;2002.27;1152.98;
13;88365.854;1690.69;16043.297;66386.626;32.659;2073.46;1206.16;
14;87762.331;1706.85;16043.297;65748.491;30.262;2073.69;1225.40;
15;87141.360;1622.80;16043.297;65171.141;32.389;2032.24;0.00;
16;86705.700;1650.42;16043.297;64768.863;29.866;2043.90;1164.58;
17;86232.608;1647.14;16043.297;64345.091;27.256;2044.47;1156.99;
18;86172.414;1637.93;16043.297;64298.961;25.801;2028.83;1141.74;
19;86626.188;1580.23;30392.387;50482.511;87.876;1906.83;1128.73;
20;87352.812;1557.30;30392.387;51204.122;85.878;1751.99;294.66;
21;86296.124;1661.07;30392.387;50336.038;114.234;2199.78;1143.57;
22;82825.943;1479.43;30392.387;46946.259;192.318;1979.66;1011.99;
23;78860.446;1183.16;6817.301;66296.582;21.969;1552.67;855.98;
