Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;76358.582;995.53;6799.015;63628.507;29.875;1199.31;0.00;
1;74791.094;952.44;6799.015;62057.714;35.675;1162.11;0.00;
2;74298.239;860.86;6799.015;61571.761;47.687;1166.77;0.00;
3;74684.559;882.56;6799.015;61981.262;56.778;1222.14;0.00;
4;76061.098;961.26;6799.015;63356.185;47.544;1369.04;0.00;
5;78018.341;1130.16;6799.015;65315.935;42.665;1473.02;0.00;
6;81529.750;1452.25;19276.993;56384.120;70.407;1747.54;0.00;
7;84982.676;1578.89;19276.993;59684.429;61.331;2007.41;742.48;
8;88915.906;1697.29;16173.223;66756.629;122.333;2149.67;762.73;
9;90499.310;1709.09;16173.223;68311.005;69.067;2195.92;255.13;
10;90882.202;1726.53;16173.223;68648.411;61.436;2247.38;668.96;
11;90500.209;1712.44;16173.223;68241.133;62.412;2235.40;824.45;
12;89900.834;1694.30;16173.223;67617.686;63.978;2195.31;820.74;
13;90507.692;1721.71;16173.223;68218.360;56.833;2260.93;822.96;
14;90181.053;1720.12;16173.223;67904.252;58.034;2305.88;754.98;
15;89789.892;1719.92;16173.223;67520.655;34.601;2297.80;762.04;
16;89500.169;1711.61;16173.223;67266.609;44.335;2257.36;759.87;
17;89147.296;1709.98;16173.223;66935.316;54.099;2249.29;753.01;
18;89828.177;1719.51;16173.223;67621.201;38.968;2286.97;762.25;
19;90544.981;1726.11;30593.860;53974.888;64.793;2314.26;775.96;
20;89228.429;1699.62;30593.860;52697.799;55.216;2296.01;763.10;
21;86577.825;1639.70;30593.860;50181.733;86.347;2113.13;788.98;
22;82338.034;1438.99;30593.860;46078.076;258.743;1799.64;757.68;
23;78606.691;1131.31;6799.015;65869.749;23.802;1589.88;577.06;
