Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75741.410;1268.43;6390.534;63188.553;41.346;2343.86;708.87;
1;73705.590;1154.01;6390.534;61126.717;48.373;2341.13;629.66;
2;72574.186;1060.85;6390.534;60008.567;72.923;2337.50;560.09;
3;72391.722;1068.15;6390.534;59849.918;96.599;2338.77;556.56;
4;73064.278;1040.08;6390.534;60526.429;106.022;2344.00;0.00;
5;74431.461;1244.13;6390.534;61946.997;144.988;2352.27;659.47;
6;77573.716;1340.97;19500.720;51962.750;122.516;2356.30;720.73;
7;82291.136;1559.85;19500.720;56560.530;90.588;2364.13;853.00;
8;87175.617;1895.79;16791.188;64530.568;401.406;2611.50;1024.91;
9;89995.175;1953.96;16791.188;67209.429;266.543;2854.07;1056.28;
10;90911.994;1984.27;16791.188;68059.982;218.112;2882.79;1089.79;
11;91069.341;1963.16;16791.188;68161.075;170.581;2905.86;1064.45;
12;90920.699;1946.22;16791.188;68061.457;197.407;2770.09;1055.36;
13;91579.999;2000.92;16791.188;68726.808;172.489;3567.23;1072.21;
14;91436.407;2029.27;16791.188;68611.021;183.656;3624.67;1086.57;
15;91066.487;2034.46;16791.188;68259.470;190.808;3613.47;1156.78;
16;90587.730;2031.87;16791.188;67781.614;176.487;3609.70;1091.83;
17;89736.804;2010.40;16791.188;66948.093;153.562;3504.04;1081.75;
18;89576.214;1979.65;16791.188;66819.610;147.450;3341.56;1058.71;
19;89985.349;1974.76;16791.188;67262.955;135.936;2777.49;1076.50;
20;89494.001;1918.01;31036.243;52606.021;206.392;2749.28;1087.37;
21;86755.324;1848.63;31036.243;50023.484;283.266;2690.67;1028.75;
22;82317.693;1578.60;31036.243;45721.232;448.375;2344.15;904.26;
23;79056.514;1398.47;31036.243;42824.870;888.139;2345.50;801.36;
