Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;77676.544;1061.87;6390.534;65366.081;7.466;1995.83;732.33;
1;75371.202;936.23;6390.534;63022.744;9.066;1745.47;618.17;
2;74090.956;860.78;6390.534;61760.672;12.351;1630.00;548.71;
3;73423.113;495.83;6390.534;61101.028;16.075;1630.00;0.77;
4;73672.809;503.50;6390.534;61365.286;22.174;1630.00;0.00;
5;75186.462;835.02;6390.534;62896.608;22.238;1630.01;503.69;
6;78596.878;950.83;19500.720;53153.247;35.493;1630.01;609.72;
7;83970.775;1362.91;19500.720;58406.004;43.177;1933.98;912.12;
8;90267.282;1752.43;16791.188;67520.493;117.218;2321.47;1178.44;
9;93845.852;1974.14;16791.188;71034.382;45.036;2680.32;1364.14;
10;95280.350;2060.27;16791.188;72468.756;42.913;2726.21;1456.00;
11;95568.565;2015.57;16791.188;72766.594;42.930;2879.87;1412.92;
12;95704.785;2026.68;16791.188;72944.491;46.253;2921.65;1408.44;
13;96420.231;2071.63;16791.188;73680.376;51.411;2995.28;1439.82;
14;96513.945;2173.67;16791.188;73791.347;48.661;3096.08;1456.00;
15;96123.308;2234.33;16791.188;73415.246;47.465;3137.22;1456.00;
16;95453.504;2228.38;16791.188;72763.983;50.159;3164.68;1456.00;
17;94262.003;2110.65;16791.188;71579.402;48.366;2988.82;1455.40;
18;93266.793;2062.81;16791.188;70619.851;61.661;2816.03;1420.60;
19;92658.981;2023.29;16791.188;70029.728;60.544;2765.18;1396.38;
20;92374.867;1983.83;31036.243;55552.010;80.474;2854.11;1383.54;
21;90214.301;1862.89;31036.243;53501.783;88.536;2798.46;1316.31;
22;85537.753;1714.18;31036.243;48870.942;151.324;2606.84;1196.18;
23;81730.179;1317.51;31036.243;45097.662;295.461;2122.60;942.07;
