Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;91096.117;980.43;8770.248;75554.400;17.936;1294.96;576.84;
1;89560.959;949.01;8770.248;74057.166;53.572;1224.55;550.00;
2;88686.764;903.70;8770.248;73224.187;93.476;1125.54;514.91;
3;88831.506;906.12;8770.248;73409.046;123.317;1114.05;514.64;
4;90385.071;977.44;8770.248;74952.444;117.354;1219.12;549.86;
5;93354.365;1051.94;8770.248;77815.629;63.171;1329.64;595.42;
6;96943.012;1162.19;22570.597;67551.885;45.757;1573.44;666.98;
7;101015.771;1392.17;22570.597;71469.641;28.215;1979.49;917.51;
8;104775.223;1466.53;18923.683;79001.635;91.706;2358.41;0.00;
9;107057.330;1511.66;18923.683;81270.182;67.118;2438.03;931.97;
10;107448.477;1515.34;18923.683;81688.920;81.056;2439.47;933.44;
11;107009.020;1517.31;18923.683;81250.585;70.389;2423.09;935.81;
12;106546.682;1506.54;18923.683;80779.209;76.070;2391.52;932.52;
13;106751.253;1513.35;18923.683;80975.324;79.401;2395.37;940.62;
14;106821.254;1491.11;18923.683;81008.163;62.141;2400.06;916.45;
15;106897.672;1491.22;18923.683;81068.724;54.486;2397.35;905.94;
16;107735.744;1494.41;18923.683;81911.712;32.545;2404.39;915.78;
17;108394.365;1505.42;18923.683;82575.484;10.856;2464.48;923.32;
18;107601.708;1499.65;35570.746;65174.372;43.094;2510.51;927.98;
19;105796.862;1492.94;35570.746;63380.506;67.005;2489.11;938.24;
20;103671.894;1469.69;35570.746;61274.591;101.494;2444.63;895.72;
21;101169.358;1410.92;35570.746;58973.321;170.641;2368.40;844.76;
22;97503.897;1168.89;8770.248;81893.903;11.489;1722.67;689.46;
23;94129.480;1017.68;8770.248;78480.935;8.182;1489.78;588.73;
