Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;95212.061;935.26;8770.248;79544.306;10.166;1204.89;564.60;
1;93817.755;902.85;8770.248;78177.049;38.426;1135.91;533.76;
2;92983.762;845.18;8770.248;77390.879;74.638;1125.92;491.03;
3;93145.431;846.04;8770.248;77579.852;95.018;1118.37;485.90;
4;94628.106;925.91;8770.248;79054.921;95.851;1159.13;526.06;
5;97267.406;1009.66;8770.248;81663.919;57.036;1262.33;574.36;
6;100719.065;1152.39;22570.597;71288.222;21.150;1991.47;651.59;
7;105016.006;1389.01;22570.597;75395.885;7.950;1992.30;827.24;
8;108697.370;1487.10;18923.683;82872.267;51.160;1993.78;922.81;
9;110696.447;1515.44;18923.683;84914.126;16.281;1997.64;971.26;
10;110985.914;1519.68;18923.683;85190.975;14.993;1995.03;996.55;
11;110275.102;1511.53;18923.683;84468.347;18.463;1994.21;1005.32;
12;109726.187;1505.27;18923.683;83926.135;33.164;1994.03;1001.22;
13;109982.577;1511.41;18923.683;84184.586;34.901;1994.02;986.63;
14;109914.509;1491.57;18923.683;84117.729;28.593;1994.07;968.53;
15;110072.604;1490.15;18923.683;84255.269;14.489;1993.52;961.59;
16;110884.414;1500.24;18923.683;85077.304;1.136;1993.68;974.53;
17;111264.000;1508.82;18923.683;85495.971;2.399;2015.03;987.99;
18;110311.544;1494.23;35570.746;67913.514;16.222;1994.30;978.28;
19;108671.485;1490.03;35570.746;66270.179;21.276;2001.41;973.12;
20;106480.000;1440.45;35570.746;64050.140;46.393;1993.58;941.68;
21;103976.414;1376.51;35570.746;61730.976;113.571;1993.04;888.13;
22;100644.506;1110.36;8770.248;85070.530;3.073;1992.13;696.51;
23;97265.406;951.51;8770.248;81691.429;6.316;1991.30;573.60;
