Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;92326.073;998.48;8770.248;76696.584;15.580;1360.30;571.09;
1;90852.163;963.30;8770.248;75252.971;50.840;1252.50;542.97;
2;90094.126;923.75;8770.248;74537.556;84.656;1167.06;513.14;
3;90285.038;934.51;8770.248;74762.751;112.870;1161.86;515.69;
4;91637.284;995.06;8770.248;76114.728;102.978;1245.77;549.94;
5;94149.249;1060.99;8770.248;78600.176;57.622;1350.85;577.50;
6;97558.887;1275.69;22570.597;68172.365;25.885;1673.67;724.94;
7;101573.832;1527.48;22570.597;72025.732;16.519;2109.10;873.29;
8;104892.694;1633.95;18923.683;79100.779;84.318;2406.19;967.14;
9;106796.558;1667.19;18923.683;80966.841;50.288;2453.26;997.38;
10;106993.940;1666.89;18923.683;81169.854;69.598;2459.42;1001.72;
11;106669.045;1672.18;18923.683;80871.149;61.315;2447.19;1012.36;
12;106136.988;1655.72;18923.683;80338.859;71.099;2413.99;997.40;
13;106339.114;1663.11;18923.683;80542.480;70.238;2414.71;992.28;
14;106379.771;1651.67;18923.683;80534.664;52.212;2418.54;1005.45;
15;106558.869;1653.58;18923.683;80684.266;47.029;2419.53;1000.02;
16;107401.012;1649.86;18923.683;81522.787;13.292;2437.43;994.41;
17;108108.477;1664.33;18923.683;82239.444;3.247;2493.21;991.15;
18;107254.378;1641.56;35570.746;64773.354;25.081;2531.46;1000.14;
19;105545.489;1628.54;35570.746;63085.600;51.310;2498.54;986.73;
20;103383.238;1518.59;35570.746;60943.061;87.730;2442.39;627.87;
21;100921.845;1436.71;35570.746;58696.194;147.795;2377.13;841.12;
22;97530.512;1184.59;8770.248;81943.201;3.603;2301.44;695.12;
23;94257.113;1007.90;8770.248;78647.647;5.429;1364.03;590.43;
