Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;92319.020;1109.32;9552.829;75964.150;178.971;1570.00;672.24;
1;91038.365;1037.41;9552.829;74762.108;270.143;1570.00;609.14;
2;89998.474;985.30;9552.829;73771.366;333.463;1570.00;562.92;
3;90166.125;986.68;9552.829;73961.346;354.059;1570.00;561.83;
4;91815.234;1035.09;9552.829;75613.993;347.616;1730.00;583.59;
5;94737.905;1218.58;9552.829;78430.015;285.454;1730.00;697.50;
6;98489.999;1328.73;24341.382;67355.870;255.578;1846.80;765.81;
7;102514.920;1592.96;24341.382;71164.086;167.308;2441.41;915.67;
8;106261.359;1716.93;20461.833;79068.139;382.632;2644.29;1053.67;
9;108385.412;1794.54;20461.833;81139.258;317.459;2565.30;1123.07;
10;108780.040;1813.72;20461.833;81524.741;308.991;2628.76;1153.52;
11;108549.431;1847.09;20461.833;81243.652;286.632;2635.13;1187.94;
12;108096.435;1815.80;20461.833;80773.896;287.795;2622.86;1162.17;
13;108396.935;1830.58;20461.833;81088.780;298.564;2604.10;1188.75;
14;108654.638;1832.32;20461.833;81376.098;323.019;2599.44;1166.74;
15;109171.609;1824.80;20461.833;81857.502;319.996;2588.98;1154.15;
16;109887.715;1828.21;20461.833;82513.590;221.023;2604.91;1166.67;
17;110382.240;1866.35;20461.833;82930.377;101.763;2817.61;1184.13;
18;109473.323;1851.41;38292.654;64380.203;280.616;2815.65;1184.91;
19;107758.110;1803.26;38292.654;62716.647;331.780;2627.39;1147.71;
20;105073.278;1668.76;38292.654;60059.328;396.245;2503.86;1048.92;
21;103047.116;1538.80;38292.654;58244.260;487.134;2252.01;996.94;
22;99230.079;1286.27;9552.829;82654.345;13.281;1730.00;818.76;
23;96479.331;1180.36;9552.829;79941.364;80.503;1614.42;730.76;
