Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;87738.098;1056.68;9552.829;71489.265;300.684;1628.69;430.74;
1;86040.610;948.90;9552.829;69895.174;404.148;1536.91;0.00;
2;85295.449;920.18;9552.829;69211.408;472.569;1416.10;0.00;
3;85375.935;876.56;9552.829;69326.763;501.482;1371.97;0.00;
4;86416.771;966.37;9552.829;70349.089;489.872;1443.34;0.00;
5;89131.448;1239.81;9552.829;73025.709;425.221;1643.60;634.85;
6;92424.346;1316.98;24341.382;61553.777;466.043;1724.50;720.70;
7;96519.399;1541.89;24341.382;65461.818;400.544;2055.01;874.13;
8;100150.865;1689.50;20461.833;73235.125;616.512;2393.97;976.89;
9;102361.364;1824.39;20461.833;75364.553;517.412;2655.09;1150.89;
10;102590.485;1834.76;20461.833;75478.321;468.089;2750.60;1176.59;
11;102365.778;1840.82;20461.833;75178.293;440.334;2625.47;1195.94;
12;101768.906;1799.55;20461.833;74617.811;484.437;2532.24;1166.14;
13;101911.436;1795.71;20461.833;74778.904;505.254;2541.70;1171.18;
14;101804.040;1798.99;20461.833;74673.981;513.037;2504.66;1159.54;
15;102120.777;1780.00;20461.833;75015.295;492.973;2459.11;1004.77;
16;102893.064;1724.55;20461.833;75766.443;426.810;2371.64;1056.04;
17;103944.355;1805.72;20461.833;76707.466;245.721;2636.68;1108.18;
18;103416.081;1802.53;38292.654;58570.336;445.386;2756.88;1107.79;
19;102003.932;1783.99;38292.654;57219.910;492.937;2617.22;1105.58;
20;99813.863;1622.12;38292.654;55065.961;565.103;2354.61;980.19;
21;97313.446;1549.30;38292.654;52804.664;683.805;2276.35;964.85;
22;93723.740;1322.58;9552.829;77344.766;97.602;1807.32;776.56;
23;90955.947;1184.04;9552.829;74624.878;173.916;1687.31;674.00;
