,datetime,price,log_diff,log_price
0,2022-01-01 04:00:00,998.99,,6.906744768588443
1,2022-01-02 04:00:00,918.58,-0.0839157691959071,6.822828999392536
2,2022-01-03 04:00:00,967.47,0.0518554172787126,6.874684416671249
3,2022-01-04 04:00:00,892.85,-0.0802658230281148,6.794418593643134
4,2022-01-05 04:00:00,980.12,0.0932564195048106,6.887675013147945
5,2022-01-06 04:00:00,985.06,0.0050275398745638,6.892702553022509
6,2022-01-07 04:00:00,1029.5,0.0441259734453352,6.936828526467844
7,2022-01-08 04:00:00,1043.49,0.0134976168698086,6.950326143337652
8,2022-01-09 04:00:00,919.28,-0.1267353883882744,6.823590754949378
9,2022-01-10 04:00:00,929.33,0.0108731414559199,6.834463896405298
10,2022-01-11 04:00:00,1026.06,0.0990176071477195,6.9334815035530175
11,2022-01-12 04:00:00,992.18,-0.0335769611155942,6.899904542437423
12,2022-01-13 04:00:00,1010.57,0.0183652646443226,6.918269807081746
13,2022-01-14 04:00:00,1013.23,0.0026287197665313,6.920898526848277
14,2022-01-15 04:00:00,1107.43,0.0888987676558601,7.009797294504137
15,2022-01-16 04:00:00,1067.61,-0.0366195102135904,6.973177784290547
16,2022-01-17 04:00:00,1057.54,-0.009477049026362,6.963700735264185
17,2022-01-18 04:00:00,999.8,-0.0561454762847146,6.90755525897947
18,2022-01-19 04:00:00,1010.07,0.0102196553849136,6.917774914364384
19,2022-01-20 04:00:00,1075.83,0.0630728213101496,6.9808477356745335
20,2022-01-21 04:00:00,1027.84,-0.0456329437962459,6.935214791878288
21,2022-01-22 04:00:00,1065.54,0.0360222000162711,6.971236991894559
22,2022-01-23 04:00:00,1065.0,-0.0005069137510336,6.970730078143525
23,2022-01-24 04:00:00,988.73,-0.0743087868262915,6.896421291317234
24,2022-01-25 04:00:00,1002.2,0.0135315712083903,6.909952862525624
25,2022-01-26 04:00:00,1062.39,0.0583235035016436,6.9682763660272675
26,2022-01-27 04:00:00,1026.77,-0.0341031344419135,6.934173231585354
27,2022-01-28 04:00:00,1040.18,0.0129758224970588,6.947149054082413
28,2022-01-29 04:00:00,1061.22,0.0200254145923448,6.967174468674758
29,2022-01-30 04:00:00,999.96,-0.0594591904926415,6.907715278182116
30,2022-01-31 04:00:00,1080.44,0.0774083663756926,6.985123644557809
31,2022-02-01 04:00:00,1103.66,0.0212635638319271,7.006387208389736
32,2022-02-02 04:00:00,1109.05,0.0048718636070628,7.011259071996799
33,2022-02-03 04:00:00,1101.95,-0.0064224553640981,7.0048366166327005
34,2022-02-04 04:00:00,1108.21,0.0056647634017776,7.010501380034478
35,2022-02-05 04:00:00,1088.89,-0.0175872723043912,6.992914107730087
36,2022-02-06 04:00:00,1040.89,-0.0450827123256161,6.947831395404471
37,2022-02-07 04:00:00,1098.84,0.0541789615031698,7.002010356907641
38,2022-02-08 04:00:00,1083.35,-0.0141969857549248,6.987813371152716
39,2022-02-09 04:00:00,1069.18,-0.0131660926371646,6.974647278515551
40,2022-02-10 04:00:00,1059.15,-0.0094252998850858,6.965221978630465
41,2022-02-11 04:00:00,1092.03,0.0305716498244947,6.99579362845496
42,2022-02-12 04:00:00,1119.36,0.0247187439352227,7.020512372390183
43,2022-02-13 04:00:00,1028.32,-0.0848306907672071,6.935681681622976
44,2022-02-14 04:00:00,1063.82,0.0339398010349283,6.969621482657904
45,2022-02-15 04:00:00,1040.54,-0.0221263945069072,6.947495088150997
46,2022-02-16 04:00:00,1080.22,0.0374249149261904,6.984920003077187
47,2022-02-17 04:00:00,1067.34,-0.0119951521119539,6.972924850965233
48,2022-02-18 04:00:00,1070.14,0.0026199090532612,6.9755447600184946
49,2022-02-19 04:00:00,1124.19,0.049273295295543,7.024818055314038
50,2022-02-20 04:00:00,1046.13,-0.0719651354288677,6.95285291988517
51,2022-02-21 04:00:00,1074.7,0.0269439119619381,6.979796831847108
52,2022-02-22 04:00:00,1083.88,0.0085056429176528,6.988302474764761
53,2022-02-23 04:00:00,1039.26,-0.0420382743545166,6.946264200410244
54,2022-02-24 04:00:00,1058.2,0.018060430059787,6.964324630470031
55,2022-02-25 04:00:00,1034.75,-0.0224094998411894,6.941915130628842
56,2022-02-26 04:00:00,1038.89,0.0039929838358165,6.945908114464658
57,2022-02-27 04:00:00,964.02,-0.0747960731813597,6.871112041283299
58,2022-02-28 04:00:00,1024.3,0.0606526901591903,6.931764731442489
59,2022-03-01 04:00:00,1047.97,0.0228455070745692,6.954610238517058
60,2022-03-02 04:00:00,1046.36,-0.0015374848444622,6.953072753672596
61,2022-03-03 04:00:00,1030.6,-0.0151763177784722,6.937896435894124
62,2022-03-04 04:00:00,1065.29,0.0331059056518414,6.971002341545965
63,2022-03-05 04:00:00,1045.97,-0.0183023780207323,6.952699963525233
64,2022-03-06 04:00:00,1032.22,-0.0132328619084152,6.939467101616818
65,2022-03-07 04:00:00,1064.9,0.0311690754045201,6.970636177021338
66,2022-03-08 04:00:00,1021.83,-0.0412857606026113,6.9293504164187265
67,2022-03-09 04:00:00,1032.57,0.0104557027285441,6.939806119147271
68,2022-03-10 04:00:00,1000.25,-0.031800871409926,6.908005247737345
69,2022-03-11 04:00:00,1015.94,0.0155643235391504,6.923569571276495
70,2022-03-12 04:00:00,1107.6,0.0863812200203115,7.009950791296807
71,2022-03-13 04:00:00,1066.19,-0.0381039660554876,6.971846825241319
72,2022-03-14 04:00:00,1153.49,0.078700583067464,7.050547408308783
73,2022-03-15 04:00:00,1059.32,-0.0851649364918527,6.96538247181693
