datetime,price,log_diff
2022-01-01 16:00:00,1103.72,
2022-01-02 16:00:00,1494.65,0.30320577322268427
2022-01-03 16:00:00,1519.53,0.016509010795055623
2022-01-04 16:00:00,1503.17,-0.01082486502263258
2022-01-05 16:00:00,1594.09,0.0587268290118077
2022-01-06 16:00:00,1645.56,0.03177771131201279
2022-01-07 16:00:00,1625.84,-0.012056146517711142
2022-01-08 16:00:00,1604.69,-0.013094013790552417
2022-01-09 16:00:00,1571.65,-0.02080456860214941
2022-01-10 16:00:00,1599.64,0.01765258102222589
2022-01-11 16:00:00,1711.68,0.0676967404313098
2022-01-12 16:00:00,1761.5,0.028690374438406607
2022-01-13 16:00:00,1687.09,-0.04316056751785258
2022-01-14 16:00:00,1651.32,-0.021430183198249075
2022-01-15 16:00:00,1739.77,0.05217795249827617
2022-01-16 16:00:00,1672.44,-0.03946928264404814
2022-01-17 16:00:00,1664.45,-0.004788899406285907
2022-01-18 16:00:00,1709.47,0.02668864242130553
2022-01-19 16:00:00,1665.08,-0.02631021062611616
2022-01-20 16:00:00,1671.73,0.003985848042912465
2022-01-21 16:00:00,1656.59,-0.009097745665509471
2022-01-22 16:00:00,1695.05,0.02295096621882653
2022-01-23 16:00:00,1622.8,-0.0435591865722591
2022-01-24 16:00:00,1636.05,0.00813174771056957
2022-01-25 16:00:00,1647.75,0.007125920889967219
2022-01-26 16:00:00,1651.51,0.0022792999811063197
2022-01-27 16:00:00,1743.24,0.05405542975885691
2022-01-28 16:00:00,1667.89,-0.04418609617092173
2022-01-29 16:00:00,1654.37,-0.008139082814456522
2022-01-30 16:00:00,1592.48,-0.03812772218966032
2022-01-31 16:00:00,1658.79,0.04079587140199692
2022-02-01 16:00:00,1724.4,0.038790742973229264
2022-02-02 16:00:00,1731.24,0.0039587508727016996
2022-02-03 16:00:00,1721.76,-0.005490891293599809
2022-02-04 16:00:00,1680.02,-0.024541325363733435
2022-02-05 16:00:00,1670.44,-0.005718633326584843
2022-02-06 16:00:00,1618.44,-0.03162434244499668
2022-02-07 16:00:00,1745.76,0.07572726859002188
