◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
23,92753.901,1110.09,10323.026,75520.627,37.559,2478.47,723.06,
0,91259.645,1081.61,10323.026,74091.352,155.605,2464.2,0.0,
1,89761.676,1024.55,10323.026,72764.505,342.637,2415.42,230.7,
2,88845.446,996.55,10323.026,71897.584,378.695,2438.0,0.0,
3,88411.31,971.5,10323.026,71480.872,398.038,2438.74,0.0,
4,88994.528,1016.15,10323.026,72061.087,403.307,2452.74,78.7,
5,89957.296,1027.49,10323.026,72984.869,361.236,1482.12,629.28,
6,91092.211,1084.37,26280.117,58124.466,317.907,1596.57,657.16,
7,93478.481,1186.06,26280.117,60424.898,264.479,1713.38,739.26,
8,96083.895,1408.87,22069.026,67544.273,519.968,2171.23,887.72,
9,98630.994,1634.96,22069.026,69965.522,357.995,2661.67,1074.27,
10,100446.295,1663.12,22069.026,71704.406,280.817,2640.88,1130.23,
11,101075.626,1672.27,22069.026,72260.788,214.886,2702.59,1155.23,
12,100893.531,1666.5,22069.026,72094.998,242.303,2673.31,1155.67,
13,101192.643,1671.24,22069.026,72397.137,224.77,2672.2,1136.86,
14,101410.216,1664.52,22069.026,72609.08,215.725,2676.9,1149.43,
