◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
20,84951.579,1794.39,31699.491,47197.776,101.854,2194.27,1209.84,
21,84458.479,1788.64,31699.491,46843.656,127.848,2237.33,1242.67,
22,81032.232,1645.88,31699.491,43605.072,321.446,1977.82,1156.37,
23,77210.291,1452.45,31699.491,40089.091,704.597,1707.7,999.4,
0,74489.058,1218.58,6445.184,61965.162,31.791,1460.75,826.24,
1,72720.713,1057.29,6445.184,60185.283,49.367,1213.1,689.52,
2,71589.311,989.33,6445.184,59100.273,99.295,1141.5,638.12,
3,71143.685,956.01,6445.184,58708.431,110.507,1107.7,610.84,
4,71776.092,1036.56,6445.184,59399.994,158.99,1224.2,656.54,
5,73900.959,1180.55,6445.184,61526.389,162.683,1416.6,750.53,
6,77689.116,1461.86,19939.502,51801.422,128.236,1709.5,930.26,
7,81151.395,1551.71,19939.502,55071.627,59.415,1823.67,994.72,
8,85325.598,1747.16,16980.632,62472.634,333.197,2665.32,1143.98,
9,87504.369,1814.1,16980.632,64522.393,200.952,2762.09,1220.62,
10,88011.254,1824.51,16980.632,64966.132,152.367,2726.21,1240.9,
11,87767.838,1816.38,16980.632,64688.533,139.234,2724.24,1234.07,
12,87499.307,1809.64,16980.632,64406.664,139.657,2707.14,1208.4,
13,87682.857,1829.85,16980.632,64597.542,139.116,2756.21,1229.53,
14,87414.578,1863.97,16980.632,64363.321,150.076,2745.25,1259.38,
15,86785.059,1852.54,16980.632,63767.556,155.261,2753.46,1255.51,
16,86152.433,1839.48,16980.632,63135.757,108.42,2745.95,1246.13,
17,85528.29,1818.81,16980.632,62529.982,112.954,2743.24,1233.74,
18,85065.425,1798.43,16980.632,62127.725,132.152,2728.44,1214.59,
19,84730.111,1782.33,16980.632,61748.113,82.81,2696.38,1210.3,
20,84870.97,1778.21,31699.491,47197.97,103.478,2747.9,1192.05,
21,84239.686,1777.05,31699.491,46709.34,133.49,2752.32,1173.05,
22,80680.359,1598.91,31699.491,43314.352,329.429,2513.03,1086.96,
23,76877.789,1361.58,31699.491,39848.456,713.907,1989.03,932.82,
0,74178.175,1270.42,6445.184,61670.214,46.289,1730.6,847.83,
1,72646.603,1067.02,6445.184,60141.038,70.807,1326.85,706.64,
2,71458.319,986.44,6445.184,59002.801,122.11,1202.0,644.36,
3,71092.47,924.23,6445.184,58653.519,135.77,1092.0,586.14,
4,71511.264,953.81,6445.184,59142.428,185.394,1139.2,601.47,
5,73546.42,1117.52,6445.184,61185.058,197.072,1346.6,711.69,
6,77358.499,1460.54,19939.502,51469.604,167.978,1750.06,922.1,
7,80663.816,1540.76,19939.502,54568.237,89.064,1922.47,974.68,
8,84623.658,1730.17,16980.632,61793.356,369.938,2388.99,1089.96,
9,86906.581,1804.9,16980.632,63956.202,237.697,2561.66,1148.44,
10,87364.035,1820.39,16980.632,64342.222,187.45,2632.47,1136.29,
11,87103.731,1809.89,16980.632,64053.788,167.315,2601.01,1120.58,
12,86787.081,1806.81,16980.632,63737.036,166.414,2625.34,1109.83,
13,86743.212,1806.46,16980.632,63724.32,173.493,2641.79,1137.48,
14,86437.672,1857.22,16980.632,63452.24,186.703,2624.54,1235.31,
15,85773.067,1816.13,16980.632,62824.391,199.089,2597.11,1198.69,
16,85232.187,1800.02,16980.632,62297.471,168.972,2605.89,1182.31,
17,84416.58,1781.91,16980.632,61516.069,170.074,2554.93,1193.85,
18,83910.403,1768.72,16980.632,61036.981,196.452,2377.61,1181.68,
19,83619.691,1755.44,16980.632,60657.164,101.321,2393.08,1180.24,
20,83960.926,1746.71,31699.491,46321.8,116.65,2416.72,1143.51,
21,83729.242,1759.52,31699.491,46234.324,145.118,2461.87,1173.61,
22,80473.167,1637.53,31699.491,43187.89,357.683,2256.82,1107.95,
23,76631.731,1376.51,31699.491,39624.424,702.962,1798.84,932.95,
0,73820.547,1066.15,6445.184,61297.906,37.646,1483.76,667.46,
1,72330.774,904.97,6445.184,59825.506,79.72,1473.39,106.2,
2,71399.945,871.2,6445.184,58942.817,127.841,1466.26,105.03,
3,71010.028,844.64,6445.184,58584.378,150.155,1151.07,232.63,
4,71423.372,810.85,6445.184,59053.871,195.882,1153.47,0.0,
5,73648.823,918.68,6445.184,61280.422,203.995,1473.18,0.0,
6,76730.813,1449.22,19939.502,50811.73,174.701,1743.55,919.64,
7,80492.512,1563.94,19939.502,54348.266,80.718,2000.5,996.28,
8,84520.404,1801.52,16980.632,61612.786,330.569,2639.24,1157.97,
9,86915.758,1853.33,16980.632,63866.24,174.858,2793.79,1223.18,
10,87497.277,1866.66,16980.632,64370.184,114.842,2846.89,1246.26,
11,87308.787,1869.0,16980.632,64138.551,88.323,2847.95,1239.63,
12,86982.936,1869.49,16980.632,63812.355,89.967,2860.96,1240.88,
13,87259.978,1874.5,16980.632,64101.676,89.369,2865.31,1259.19,
14,86994.278,1878.74,16980.632,63851.884,91.756,2854.58,1288.2,
15,86296.228,1851.83,16980.632,63208.966,91.957,2846.97,1265.06,
16,85790.353,1845.56,16980.632,62724.149,76.001,2843.15,1242.34,
17,85361.702,1829.06,16980.632,62359.512,88.704,2842.37,1235.09,
18,84460.47,1835.74,16980.632,61503.152,130.602,2797.34,1251.16,
19,83960.629,1820.16,16980.632,60960.628,85.09,2804.52,1249.18,
20,84082.334,1817.66,31699.491,46405.947,93.932,2833.94,1228.21,
21,83775.042,1812.09,31699.491,46272.791,145.355,2745.86,1247.49,
22,80498.01,1624.92,31699.491,43170.531,364.978,2461.99,1131.57,
23,76736.508,1384.4,31699.491,39781.915,799.671,1833.9,975.67,
0,74230.151,1214.76,6445.184,61649.417,32.488,1472.21,872.14,
1,72754.5,992.73,6445.184,60187.051,58.867,1230.0,0.0,
