Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;75505.801;1109.82;6445.184;63000.341;30.737;1741.96;765.16;
1;73574.916;991.60;6445.184;61074.380;38.790;1165.92;666.86;
2;72219.840;876.32;6445.184;59768.638;89.362;1033.89;570.65;
3;71440.861;844.37;6445.184;58976.575;118.865;1024.94;524.39;
4;71799.074;831.77;6445.184;59416.717;177.165;1062.71;504.12;
5;74111.540;903.56;6445.184;61707.397;172.875;1750.51;561.78;
6;77190.130;1228.35;19939.502;51219.338;148.879;3099.75;760.74;
7;81452.875;1512.71;19939.502;55286.966;58.619;3110.37;999.32;
8;85846.666;1667.85;16980.632;62885.654;290.767;3113.70;1110.15;
9;88551.419;1799.71;16980.632;65448.904;137.443;3109.10;1233.62;
10;89284.464;1853.02;16980.632;66112.158;79.940;2537.05;1312.09;
11;89194.003;1831.17;16980.632;66017.124;63.606;2553.63;1068.32;
12;88883.213;1830.40;16980.632;65691.321;60.754;2550.42;0.00;
13;89154.116;1839.73;16980.632;65978.972;60.946;2563.02;206.88;
14;88790.527;1870.89;16980.632;65631.815;64.341;2542.11;118.92;
15;88195.882;1831.73;16980.632;65073.162;72.080;2552.60;856.10;
16;87574.852;1818.15;16980.632;64485.723;65.796;2480.91;821.11;
17;86740.279;1803.84;16980.632;63727.700;82.414;2447.50;865.77;
18;85806.873;1775.76;16980.632;62841.295;120.438;2487.37;309.78;
19;85168.359;1750.88;16980.632;62195.670;103.906;2395.20;830.03;
20;85125.985;1742.34;31699.491;47426.465;123.528;2365.10;1189.33;
21;84617.785;1764.70;31699.491;47347.530;189.453;2464.60;1203.98;
22;81306.567;1636.14;31699.491;44245.897;409.002;2174.18;1131.66;
23;78436.688;1456.90;31699.491;41672.701;763.743;1791.19;1015.86;
