Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;93782.316;1216.76;9406.764;77294.367;116.903;2499.49;769.46;
1;92142.643;1162.39;9406.764;75693.008;182.408;2494.90;716.38;
2;91317.946;1124.88;9406.764;74894.177;220.081;2492.48;689.37;
3;91438.548;1132.86;9406.764;75047.324;242.855;2488.96;685.81;
4;92884.371;1210.39;9406.764;76497.309;240.238;2506.58;738.44;
5;95576.400;1326.93;9406.764;79068.411;189.587;2527.83;811.85;
6;98421.045;1525.37;23839.584;67482.984;169.397;2607.24;937.08;
7;101972.093;1623.55;23839.584;70912.910;149.385;2661.69;995.81;
8;105422.266;1767.11;19998.768;78387.732;322.421;2892.65;1090.59;
9;107316.117;1783.29;19998.768;80175.994;224.325;2782.49;707.21;
10;107416.260;1782.83;19998.768;80180.458;175.593;2943.29;587.67;
11;106638.397;1795.75;19998.768;79361.534;167.494;2948.41;433.87;
12;105724.985;1775.05;19998.768;78417.081;176.617;2881.10;1119.00;
13;105713.369;1778.36;19998.768;78468.935;197.623;2873.45;1111.16;
14;105300.610;1773.01;19998.768;78062.943;206.923;2841.17;1095.22;
15;104894.664;1766.95;19998.768;77608.766;195.948;2868.49;786.84;
16;104748.364;1760.84;19998.768;77461.789;181.402;2686.05;854.63;
17;104938.101;1745.37;19998.768;77695.550;148.375;2597.17;798.69;
18;106352.788;1761.02;37484.682;61707.393;160.659;2600.87;1064.59;
19;106385.721;1795.98;37484.682;61766.011;181.456;2900.64;1016.61;
20;104812.706;1764.02;37484.682;60251.461;222.237;2890.50;1119.93;
21;102507.352;1718.39;37484.682;58111.907;279.334;2654.24;1098.39;
22;98792.474;1659.76;9406.764;82213.485;45.706;3284.54;160.47;
23;96295.135;1513.05;9406.764;79664.872;47.718;2599.02;963.29;
