Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;87795.481;1516.46;9406.764;71622.212;243.139;2189.52;1023.02;
1;86229.460;1377.12;9406.764;70161.991;382.377;1905.12;890.44;
2;85107.600;1246.16;9406.764;69112.611;472.454;1738.92;810.41;
3;85011.843;1240.82;9406.764;68978.372;439.599;1739.13;804.43;
4;85677.835;1348.46;9406.764;69552.292;323.967;1887.61;851.79;
5;86502.520;1374.18;9406.764;70421.739;373.351;1817.93;872.06;
6;86934.239;1399.27;23839.584;56531.476;476.409;2201.49;867.73;
7;89126.214;1429.08;23839.584;58664.904;419.352;2166.18;866.50;
8;92070.688;1642.66;19998.768;65697.634;625.665;2227.91;1015.69;
9;94496.748;1717.72;19998.768;67997.634;504.806;2312.36;1088.14;
10;95514.247;1738.51;19998.768;68922.423;444.503;2310.73;1125.76;
11;95611.192;1741.10;19998.768;69006.386;437.866;2314.98;1144.52;
12;95235.175;1732.55;19998.768;68596.485;437.208;2293.13;1132.36;
13;95096.267;1733.27;19998.768;68467.243;433.662;2295.84;1139.59;
14;94866.742;1732.45;19998.768;68297.973;468.443;2289.08;1141.94;
15;94887.247;1727.40;19998.768;68349.720;454.787;2293.65;1130.20;
16;95437.999;1722.27;19998.768;68841.412;373.102;2293.17;1123.95;
17;96125.935;1739.15;19998.768;69464.648;302.471;2313.81;1144.38;
18;97736.622;1761.91;37484.682;53722.203;390.043;2356.26;1159.49;
19;98559.069;1800.60;37484.682;54539.280;358.874;2461.58;1258.03;
20;97473.238;1775.64;37484.682;53544.361;446.577;2465.86;1223.45;
21;94984.222;1744.72;37484.682;51196.624;596.981;2512.97;1214.48;
22;91452.810;1612.21;9406.764;75167.936;71.058;2386.33;1095.48;
23;89127.094;1545.34;9406.764;72913.761;182.515;2332.65;1056.83;
