Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;87746.535;1288.94;9406.764;71407.766;235.833;1906.93;859.44;
1;86395.595;1207.16;9406.764;70155.377;362.991;1746.39;797.68;
2;85713.425;1148.09;9406.764;69538.600;447.785;1623.01;753.52;
3;85916.901;1162.16;9406.764;69712.976;418.777;1652.60;765.78;
4;87425.401;1237.13;9406.764;71135.568;294.642;1784.44;763.29;
5;89581.294;1426.71;9406.764;73345.152;334.599;1980.28;876.23;
6;92057.339;1519.42;23839.584;61479.346;423.427;2151.13;952.22;
7;95380.356;1692.53;23839.584;64624.358;384.253;2205.96;1113.64;
8;98933.833;1820.99;19998.768;72266.074;609.205;2381.31;1197.55;
9;100826.849;1838.05;19998.768;74085.322;516.374;2417.87;1232.23;
10;100807.264;1839.09;19998.768;74006.538;472.824;2411.97;1216.27;
11;100112.030;1770.98;19998.768;73281.093;469.201;2248.06;1218.08;
12;99366.841;1741.57;19998.768;72537.626;471.735;2193.21;1209.51;
13;99396.025;1743.39;19998.768;72563.790;458.084;2206.52;1208.29;
14;99021.720;1754.50;19998.768;72196.798;472.048;2211.06;1209.57;
15;98547.287;1752.32;19998.768;71659.066;458.667;2189.05;1193.63;
16;98178.103;1758.17;19998.768;71220.122;388.175;2206.42;1175.15;
17;98121.203;1754.13;19998.768;71090.369;318.373;2206.32;1145.25;
18;99263.420;1764.36;37484.682;54869.057;402.227;2247.77;1149.82;
19;99822.559;1842.08;37484.682;55447.136;394.832;2438.37;1202.71;
20;98398.207;1844.25;37484.682;54100.591;475.712;2449.20;1260.60;
21;96505.645;1796.21;37484.682;52405.032;588.704;2434.78;1252.66;
22;92597.431;1599.56;9406.764;76039.090;56.278;2350.61;1072.49;
23;90044.261;1409.86;9406.764;73558.496;164.312;2087.58;933.31;
